[Header]	
System	TOCL-Saline	
S/W Version	1.00	
User		
Date/Time	12/3/2024 12:02:30 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Excluded	Inj. Vol.	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal		1.00		9/30/2024 11:19:10 AM	1	1	IC	18.25	18.34	5.000	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal		1.00		9/30/2024 11:22:57 AM	1	2	IC	17.62	18.34	5.000	 	 	 	1	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal		1.00		9/30/2024 11:25:26 AM	1	3	IC	18.43	18.34	5.000	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal		1.00		9/30/2024 11:32:03 AM	2	1	IC	35.68	35.60	10.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal		1.00		9/30/2024 11:34:31 AM	2	2	IC	35.52	35.60	10.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal		1.00		9/30/2024 11:40:34 AM	3	1	IC	88.71	88.84	25.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal		1.00		9/30/2024 11:42:58 AM	3	2	IC	88.98	88.84	25.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal		1.00		9/30/2024 11:49:01 AM	4	1	IC	180.6	180.7	50.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal		1.00		9/30/2024 11:52:04 AM	4	2	IC	185.9	180.7	50.00	 	 	 	1	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal		1.00		9/30/2024 11:54:31 AM	4	3	IC	180.7	180.7	50.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal		1.00		9/30/2024 11:59:56 AM	5	1	IC	365.6	376.8	100.0	 	 	 	1	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal		1.00		9/30/2024 12:03:02 PM	5	2	IC	376.4	376.8	100.0	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal		1.00		9/30/2024 12:06:17 PM	5	3	IC	377.2	376.8	100.0	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_09_30_12_06_17.cal		1.00		9/30/2024 12:14:34 PM	1	1	TC	18.44	18.51	5.000	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_09_30_12_06_17.cal		1.00		9/30/2024 12:17:34 PM	1	2	TC	18.57	18.51	5.000	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_09_30_12_06_17.cal		1.00		9/30/2024 12:24:10 PM	2	1	TC	35.48	35.28	10.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_09_30_12_06_17.cal		1.00		9/30/2024 12:27:16 PM	2	2	TC	35.08	35.28	10.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_09_30_12_06_17.cal		1.00		9/30/2024 12:34:12 PM	3	1	TC	87.51	87.05	25.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_09_30_12_06_17.cal		1.00		9/30/2024 12:37:20 PM	3	2	TC	86.59	87.05	25.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_09_30_12_06_17.cal		1.00		9/30/2024 12:44:26 PM	4	1	TC	176.5	176.2	50.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_09_30_12_06_17.cal		1.00		9/30/2024 12:47:46 PM	4	2	TC	175.9	176.2	50.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_09_30_12_06_17.cal		1.00		9/30/2024 12:54:28 PM	5	1	TC	353.1	351.3	100.0	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_09_30_12_06_17.cal		1.00		9/30/2024 12:57:56 PM	5	2	TC	349.4	351.3	100.0	 	 	 	0	50	
Unknown	TOC	5.4_09182024	Untitled	C:\TOC-L\Methods\TOC_Saline.met	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_09_30_12_06_17.cal	1.00		9/30/2024 1:05:42 PM	1	1	TC	201.9	200.7	57.45	57.10	TOC:54.95mg/L TC:57.10mg/L IC:2.151mg/L	TOC:54.95mg/L TC:57.10mg/L IC:2.151mg/L	0	50	
Unknown	TOC	5.4_09182024	Untitled	C:\TOC-L\Methods\TOC_Saline.met	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_09_30_12_06_17.cal	1.00		9/30/2024 1:09:12 PM	1	2	TC	199.5	200.7	56.76	57.10	TOC:54.95mg/L TC:57.10mg/L IC:2.151mg/L	TOC:54.95mg/L TC:57.10mg/L IC:2.151mg/L	0	50	
Unknown	TOC	5.4_09182024	Untitled	C:\TOC-L\Methods\TOC_Saline.met	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal	1.00		9/30/2024 1:13:23 PM	1	1	IC	4.866	4.661	2.205	2.151	TOC:54.95mg/L TC:57.10mg/L IC:2.151mg/L	TOC:54.95mg/L TC:57.10mg/L IC:2.151mg/L	1	50	
Unknown	TOC	5.4_09182024	Untitled	C:\TOC-L\Methods\TOC_Saline.met	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal	1.00		9/30/2024 1:15:33 PM	1	2	IC	4.635	4.661	2.144	2.151	TOC:54.95mg/L TC:57.10mg/L IC:2.151mg/L	TOC:54.95mg/L TC:57.10mg/L IC:2.151mg/L	0	50	
Unknown	TOC	5.4_09182024	Untitled	C:\TOC-L\Methods\TOC_Saline.met	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal	1.00		9/30/2024 1:17:42 PM	1	3	IC	4.687	4.661	2.157	2.151	TOC:54.95mg/L TC:57.10mg/L IC:2.151mg/L	TOC:54.95mg/L TC:57.10mg/L IC:2.151mg/L	0	50	
Unknown	TOC	5.6_09182024	Untitled	C:\TOC-L\Methods\TOC_Saline.met	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_09_30_12_06_17.cal	1.00		9/30/2024 1:25:24 PM	1	1	TC	153.9	152.2	43.77	43.27	TOC:40.93mg/L TC:43.27mg/L IC:2.344mg/L	TOC:40.93mg/L TC:43.27mg/L IC:2.344mg/L	0	50	
Unknown	TOC	5.6_09182024	Untitled	C:\TOC-L\Methods\TOC_Saline.met	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_09_30_12_06_17.cal	1.00		9/30/2024 1:28:50 PM	1	2	TC	150.4	152.2	42.77	43.27	TOC:40.93mg/L TC:43.27mg/L IC:2.344mg/L	TOC:40.93mg/L TC:43.27mg/L IC:2.344mg/L	0	50	
Unknown	TOC	5.6_09182024	Untitled	C:\TOC-L\Methods\TOC_Saline.met	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal	1.00		9/30/2024 1:33:06 PM	1	1	IC	5.366	5.392	2.337	2.344	TOC:40.93mg/L TC:43.27mg/L IC:2.344mg/L	TOC:40.93mg/L TC:43.27mg/L IC:2.344mg/L	0	50	
Unknown	TOC	5.6_09182024	Untitled	C:\TOC-L\Methods\TOC_Saline.met	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_09_30_11_11_29.cal	1.00		9/30/2024 1:35:14 PM	1	2	IC	5.418	5.392	2.351	2.344	TOC:40.93mg/L TC:43.27mg/L IC:2.344mg/L	TOC:40.93mg/L TC:43.27mg/L IC:2.344mg/L	0	50	
