[Header]	
System	TOCL-Saline	
S/W Version	1.00	
User		
Date/Time	12/3/2024 12:05:46 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Excluded	Inj. Vol.	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_04_19_11_53_12.cal		1.00		4/19/2024 12:00:56 PM	1	1	IC	18.84	18.78	5.000	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_04_19_11_53_12.cal		1.00		4/19/2024 12:03:29 PM	1	2	IC	18.72	18.78	5.000	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_04_19_11_53_12.cal		1.00		4/19/2024 12:09:36 PM	2	1	IC	37.14	37.22	10.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_04_19_11_53_12.cal		1.00		4/19/2024 12:12:04 PM	2	2	IC	37.29	37.22	10.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_04_19_11_53_12.cal		1.00		4/19/2024 12:18:10 PM	3	1	IC	92.69	92.06	25.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_04_19_11_53_12.cal		1.00		4/19/2024 12:20:39 PM	3	2	IC	91.44	92.06	25.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_04_19_11_53_12.cal		1.00		4/19/2024 12:28:31 PM	4	1	IC	194.9	187.5	50.00	 	 	 	1	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_04_19_11_53_12.cal		1.00		4/19/2024 12:31:06 PM	4	2	IC	186.4	187.5	50.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_04_19_11_53_12.cal		1.00		4/19/2024 12:34:03 PM	4	3	IC	188.6	187.5	50.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_04_19_11_53_12.cal		1.00		4/19/2024 12:39:26 PM	5	1	IC	374.9	376.9	100.0	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_04_19_11_53_12.cal		1.00		4/19/2024 12:42:36 PM	5	2	IC	378.8	376.9	100.0	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_04_19_12_42_36.cal		1.00		4/19/2024 12:51:07 PM	1	1	TC	22.32	21.93	5.000	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_04_19_12_42_36.cal		1.00		4/19/2024 12:54:45 PM	1	2	TC	23.37	21.93	5.000	 	 	 	1	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_04_19_12_42_36.cal		1.00		4/19/2024 12:57:50 PM	1	3	TC	21.54	21.93	5.000	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_04_19_12_42_36.cal		1.00		4/19/2024 1:04:40 PM	2	1	TC	43.23	43.19	10.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_04_19_12_42_36.cal		1.00		4/19/2024 1:07:58 PM	2	2	TC	43.14	43.19	10.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_04_19_12_42_36.cal		1.00		4/19/2024 1:15:16 PM	3	1	TC	170.8	104.7	25.00	 	 	 	1	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_04_19_12_42_36.cal		1.00		4/19/2024 1:18:48 PM	3	2	TC	106.4	104.7	25.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_04_19_12_42_36.cal		1.00		4/19/2024 1:22:10 PM	3	3	TC	103.0	104.7	25.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_04_19_12_42_36.cal		1.00		4/19/2024 1:30:32 PM	4	1	TC	215.9	218.9	50.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_04_19_12_42_36.cal		1.00		4/19/2024 1:33:52 PM	4	2	TC	221.9	218.9	50.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_04_19_12_42_36.cal		1.00		4/19/2024 1:40:59 PM	5	1	TC	450.2	450.4	100.0	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_04_19_12_42_36.cal		1.00		4/19/2024 1:44:31 PM	5	2	TC	450.5	450.4	100.0	 	 	 	0	50	
Unknown	TOC	15_041824	Untitled	C:\TOC-L\Methods\TOC_Saline.met	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_04_19_12_42_36.cal	1.00		4/19/2024 1:51:46 PM	1	1	TC	142.7	142.6	32.44	32.41	TOC:28.45mg/L TC:32.41mg/L IC:3.957mg/L	TOC:28.45mg/L TC:32.41mg/L IC:3.957mg/L	0	50	
