[Header]	
System	TOCL-Saline	
S/W Version	1.00	
User		
Date/Time	12/4/2024 9:17:46 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Excluded	Inj. Vol.	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_12_03_10_22_37.cal		1.00		12/3/2024 10:31:00 AM	1	1	TC	31.78	21.41	5.000	 	 	 	1	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_12_03_10_22_37.cal		1.00		12/3/2024 10:34:36 AM	1	2	TC	21.18	21.41	5.000	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_12_03_10_22_37.cal		1.00		12/3/2024 10:37:47 AM	1	3	TC	21.63	21.41	5.000	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_12_03_10_22_37.cal		1.00		12/3/2024 10:44:30 AM	2	1	TC	35.78	35.63	10.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_12_03_10_22_37.cal		1.00		12/3/2024 10:47:29 AM	2	2	TC	35.47	35.63	10.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_12_03_10_22_37.cal		1.00		12/3/2024 10:54:19 AM	3	1	TC	87.67	88.32	25.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_12_03_10_22_37.cal		1.00		12/3/2024 10:57:26 AM	3	2	TC	88.97	88.32	25.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_12_03_10_22_37.cal		1.00		12/3/2024 11:04:38 AM	4	1	TC	177.3	177.2	50.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_12_03_10_22_37.cal		1.00		12/3/2024 11:07:56 AM	4	2	TC	177.1	177.2	50.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_12_03_10_22_37.cal		1.00		12/3/2024 11:14:35 AM	5	1	TC	349.7	350.2	100.0	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_12_03_10_22_37.cal		1.00		12/3/2024 11:17:55 AM	5	2	TC	350.7	350.2	100.0	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_12_03_11_17_55.cal		1.00		12/3/2024 11:25:52 AM	1	1	IC	17.48	17.52	5.000	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_12_03_11_17_55.cal		1.00		12/3/2024 11:28:15 AM	1	2	IC	17.55	17.52	5.000	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_12_03_11_17_55.cal		1.00		12/3/2024 11:34:19 AM	2	1	IC	35.96	35.89	10.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_12_03_11_17_55.cal		1.00		12/3/2024 11:36:46 AM	2	2	IC	35.83	35.89	10.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_12_03_11_17_55.cal		1.00		12/3/2024 11:43:25 AM	3	1	IC	94.00	93.78	25.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_12_03_11_17_55.cal		1.00		12/3/2024 11:46:29 AM	3	2	IC	93.57	93.78	25.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_12_03_11_17_55.cal		1.00		12/3/2024 11:53:09 AM	4	1	IC	193.3	180.6	50.00	 	 	 	1	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_12_03_11_17_55.cal		1.00		12/3/2024 11:55:38 AM	4	2	IC	183.3	180.6	50.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_12_03_11_17_55.cal		1.00		12/3/2024 11:58:06 AM	4	3	IC	177.8	180.6	50.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_12_03_11_17_55.cal		1.00		12/3/2024 12:03:30 PM	5	1	IC	365.5	362.4	100.0	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_12_03_11_17_55.cal		1.00		12/3/2024 12:06:00 PM	5	2	IC	359.3	362.4	100.0	 	 	 	0	50	
Standard	NPOC	NPOC_Saline_100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal		1.00		12/3/2024 12:23:01 PM	1	1	NPOC	7.482	6.723	2.000	 	 	 	1	50	
Standard	NPOC	NPOC_Saline_100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal		1.00		12/3/2024 12:25:46 PM	1	2	NPOC	6.941	6.723	2.000	 	 	 	0	50	
Standard	NPOC	NPOC_Saline_100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal		1.00		12/3/2024 12:28:23 PM	1	3	NPOC	6.504	6.723	2.000	 	 	 	0	50	
Standard	NPOC	NPOC_Saline_100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal		1.00		12/3/2024 12:38:14 PM	2	1	NPOC	34.98	34.65	10.00	 	 	 	0	50	
Standard	NPOC	NPOC_Saline_100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal		1.00		12/3/2024 12:41:12 PM	2	2	NPOC	34.32	34.65	10.00	 	 	 	0	50	
Standard	NPOC	NPOC_Saline_100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal		1.00		12/3/2024 12:51:08 PM	3	1	NPOC	87.72	88.09	25.00	 	 	 	0	50	
Standard	NPOC	NPOC_Saline_100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal		1.00		12/3/2024 12:54:21 PM	3	2	NPOC	88.47	88.09	25.00	 	 	 	0	50	
Standard	NPOC	NPOC_Saline_100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal		1.00		12/3/2024 1:04:39 PM	4	1	NPOC	176.6	176.3	50.00	 	 	 	0	50	
Standard	NPOC	NPOC_Saline_100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal		1.00		12/3/2024 1:08:01 PM	4	2	NPOC	176.1	176.3	50.00	 	 	 	0	50	
Standard	NPOC	NPOC_Saline_100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal		1.00		12/3/2024 1:18:20 PM	5	1	NPOC	270.6	268.3	75.00	 	 	 	0	50	
Standard	NPOC	NPOC_Saline_100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal		1.00		12/3/2024 1:21:42 PM	5	2	NPOC	266.0	268.3	75.00	 	 	 	0	50	
Standard	NPOC	NPOC_Saline_100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal		1.00		12/3/2024 1:29:52 PM	6	1	NPOC	0.2689	0.3625	100.0	 	 	 	0	50	
Standard	NPOC	NPOC_Saline_100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal		1.00		12/3/2024 1:32:05 PM	6	2	NPOC	0.4560	0.3625	100.0	 	 	 	0	50	
Standard	NPOC	NPOC_Saline_100mgL	Untitled	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal		1.00		12/3/2024 1:36:07 PM	6	3	NPOC	357.0	0.3625	100.0	 	 	 	1	50	
Unknown	NPOC	6_11222024_1	POC	C:\TOC-L\Methods\NPOC_Saline.met	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal	1.00		12/3/2024 1:47:00 PM	1	1	NPOC	248.9	250.5	219.6	221.5	NPOC:221.5mg/L	NPOC:221.5mg/L	0	50	
Unknown	NPOC	6_11222024_1	POC	C:\TOC-L\Methods\NPOC_Saline.met	C:\TOC-L\CalCurves\NPOC_Saline_100mgL.2024_12_03_12_12_51.cal	1.00		12/3/2024 1:50:32 PM	1	2	NPOC	256.1	250.5	227.9	221.5	NPOC:221.5mg/L	NPOC:221.5mg/L	1	50	
