[Header],
System,TOCL-Saline,
S/W Version,1.00,
User,,
Date/Time,11/18/2024 8:11:21 AM,

[System],
Instrument Options,TOC/ASI/IC Unit/,

[Data],
Type,Anal.,Sample Name,Sample ID,Result(TOC),Result(TC),Result(IC),Result(POC),Result(NPOC),Result(TN),Unit,Vial,Date / Time,
Standard,NPOC,NPOC_Saline_100mgL,Untitled,,,,,100.0,,mg/L,1, 1, 1, 1, 1, 1,11/15/2024 11:28:09 AM,
Standard,TC,Untitled,Untitled,,100.0,,,,,mg/L,2, 2, 2, 2, 2,11/15/2024 12:22:46 PM,
Standard,IC,Untitled,Untitled,,,100.0,,,,mg/L,3, 3, 3, 3, 3,11/15/2024 1:07:05 PM,
Unknown,TOC,9GW4_11012024,Untitled,-6172,125.0,6297,,,,mg/L,4,11/15/2024 1:24:16 PM,
Unknown,TOC,5GW3_11012024,Untitled,-8790,98.76,8889,,,,mg/L,5,11/15/2024 1:41:36 PM,
Unknown,TOC,9GW3_11012024,Untitled,-7026,161.7,7188,,,,mg/L,6,11/15/2024 1:59:20 PM,
Unknown,TOC,6GW1_11012024,Untitled,-4121,62.69,4184,,,,mg/L,7,11/15/2024 2:18:52 PM,
Unknown,TOC,5GW5_11012024,Untitled,-5515,128.9,5644,,,,mg/L,8,11/15/2024 2:36:24 PM,
Unknown,TOC,6GW5_11012024,Untitled,-1856,40.48,1896,,,,mg/L,9,11/15/2024 2:53:10 PM,
Unknown,TOC,6a_10252024,Untitled,-404.4,136.6,541.1,,,,mg/L,10,11/15/2024 3:12:56 PM,
Unknown,TOC,9GW1_11012024,Untitled,-4279,211.3,4490,,,,mg/L,11,11/15/2024 3:30:53 PM,
Unknown,TOC,6GW4_11012024,Untitled,-7980,62.25,8042,,,,mg/L,12,11/15/2024 3:51:26 PM,
Unknown,TOC,6GW3_11012024,Untitled,-2272,88.21,2360,,,,mg/L,13,11/15/2024 4:08:33 PM,
Unknown,TOC,5GW2_11012024,Untitled,-7226,88.86,7315,,,,mg/L,14,11/15/2024 4:25:52 PM,
Unknown,TOC,5GW7_11012024,Untitled,-3033,94.81,3127,,,,mg/L,15,11/15/2024 4:45:13 PM,
Unknown,TOC,5GW4_11012024,Untitled,-4656,124.6,4781,,,,mg/L,16,11/15/2024 5:06:06 PM,
Unknown,TOC,9GW2_11012024,Untitled,-8301,192.8,8494,,,,mg/L,17,11/15/2024 5:27:23 PM,
Unknown,TOC,9GW1_11012024,Untitled,-325.0,227.1,552.1,,,,mg/L,18,11/15/2024 5:45:23 PM,
