[Header]	
System	TOCL-Saline	
S/W Version	1.00	
User		
Date/Time	11/21/2024 2:22:15 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Excluded	Inj. Vol.	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_11_21_10_52_29.cal		1.00		11/21/2024 11:02:10 AM	1	1	TC	15.45	17.30	5.000	 	 	 	1	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_11_21_10_52_29.cal		1.00		11/21/2024 11:06:09 AM	1	2	TC	17.30	17.30	5.000	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_11_21_10_52_29.cal		1.00		11/21/2024 11:09:58 AM	1	3	TC	17.29	17.30	5.000	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_11_21_10_52_29.cal		1.00		11/21/2024 11:17:01 AM	2	1	TC	34.09	34.08	10.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_11_21_10_52_29.cal		1.00		11/21/2024 11:20:12 AM	2	2	TC	34.06	34.08	10.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_11_21_10_52_29.cal		1.00		11/21/2024 11:27:13 AM	3	1	TC	84.63	84.78	25.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_11_21_10_52_29.cal		1.00		11/21/2024 11:30:26 AM	3	2	TC	84.94	84.78	25.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_11_21_10_52_29.cal		1.00		11/21/2024 11:37:22 AM	4	1	TC	168.7	168.4	50.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_11_21_10_52_29.cal		1.00		11/21/2024 11:40:38 AM	4	2	TC	168.1	168.4	50.00	 	 	 	0	50	
Standard	TC	Untitled	Untitled	C:\TOC-L\CalCurves\TC_Saline_100mgL.2024_11_21_10_52_29.cal		1.00		11/21/2024 11:47:02 AM	5	1	TC	336.5	335.1	100.0	 	 	 	0	50	
