Vial ID,Sample ID,Sampled,dilution
12,GWW,11212023,11
13,S,11212023,11
14,W,11212023,11
15,TFD,11212023,11
16,SURD,11212023,11
17,LLCD,11212023,11
18,SFD,11212023,11
19,LLOD,11212023,11
20,GWD,11212023,11
21,SFS,11212023,11
22,GWS,11212023,11
23,LLCS,11212023,11
24,LLDS,11212023,11
25,TFS,11212023,11
26,LLCDS,11212023,11
27,LLCS,11282023,1
28,SFS,11282023,1
29,LLOS,11282023,1
30,GWS,11282023,1
31,SUBS,11282023,1
32,TFS,11282023,1
33,SURS,11282023,1
34,LLOD,11282023,11
35,TFD,11282023,1
36,SFD,11282023,11
37,GWD,11282023,1
38,LLCD,11282023,1
39,GWW,11282023,1
40,S,11282023,1
41,W,11282023,11
