Vial ID,Sample ID,Sampled,dilution
S1,TFD,2/13/2024,11
S2,SFD,2/13/2024,11
S3,LFCD,2/13/2024,11
S4,LFOD,2/13/2024,11
S5,GWD,2/13/2024,11
S6,TFS,2/13/2024,11
S7,SFS,2/13/2024,11
S8,LFCS,2/13/2024,11
S9,LFOS,2/13/2024,11
S10,GWS,2/13/2024,11
S11,ST,2/13/2024,11
S12,W,2/13/2024,11
S13,GWW,2/13/2024,11
S14,TFD,2/20/2024,1
S15,SFD,2/20/2024,11
S16,SURD,2/20/2024,11
S17,SUBD,2/20/2024,11
S18,LFCD,2/20/2024,1
S19,LFOD,2/20/2024,1
S20,GWD,2/20/2024,1
S21,TFS,2/20/2024,1
S22,SURS,2/20/2024,11
S23,SUBS,2/20/2024,1
S24,SFS,2/20/2024,11
S25,LFCS,2/20/2024,1
S26,LFOS,2/20/2024,1
S27,GWS,2/20/2024,1
S28,ST,2/20/2024,11
S29,W,2/20/2024,11
S30,GWW,2/20/2024,11
,,,
,,,
