Vial ID,Sample ID,Sampled,dilution
S1,TFD,2/6/2024,11
S2,TFS,2/6/2024,11
S3,GWW,2/6/2024,11
S4,LFCD,2/6/2024,11
S5,ST,2/6/2024,11
S6,GWS,2/6/2024,11
S7,LFOD,2/6/2024,11
S8,LFOS,2/6/2024,11
S9,GWD,2/6/2024,11
S10,SFD,2/6/2024,11
S11,W,2/6/2024,11
S12,SUBS,1/30/2024,11
S13,SURD,1/30/2024,11
S14,LFCD,1/30/2024,11
S15,LLOS,1/30/2024,11
S16,W,1/30/2024,11
S17,GWW,1/30/2024,11
S18,TFS,1/30/2024,11
S19,ST,1/30/2024,11
S20,SFD,1/30/2024,11
S21,SFS,1/30/2024,11
S22,LFCS,1/30/2024,11
S23,SURS,1/30/2024,11
S24,GWD,1/30/2024,11
S25,TFD,1/30/2024,11
S26,SUBD,1/30/2024,11
S27,LFOD,1/30/2024,11
