Vial ID,Sample ID,Sampled,dilution
,TFD,2/27/2024,1
,SFD,2/27/2024,11
,SUBD,2/27/2024,11
,LFCD,2/27/2024,1
,LFOD,2/27/2024,1
,GWD,2/27/2024,11
,TFS,2/27/2024,1
,SURS,2/27/2024,11
,SUBS,2/27/2024,1
,SFS,2/27/2024,11
,LFCS,2/27/2024,1
,LFOS,2/27/2024,1
,GWS,2/27/2024,1
,ST,2/27/2024,11
,W,2/27/2024,11
,GWW,2/27/2024,1
,TFD,3/5/2024,11
,SFD,3/5/2024,11
,LFCD,3/5/2024,11
,LFOD,3/5/2024,11
,GWD,3/5/2024,11
,TFS,3/5/2024,11
,SFS,3/5/2024,11
,LFCS,3/5/2024,11
,LFOS,3/5/2024,11
,GWS,3/5/2024,11
,ST,3/5/2024,11
,W,3/5/2024,11
,GWW,3/5/2024,11
,,,
,,,
