[Header]	
System	TOCL-Saline	
S/W Version	1.00	
User		
Date/Time	8/20/2024 1:56:42 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Excluded	Inj. Vol.	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_08_02_11_40_56.cal		1.00		8/2/2024 11:48:37 AM	1	1	IC	8.875	8.828	5.000	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_08_02_11_40_56.cal		1.00		8/2/2024 11:51:02 AM	1	2	IC	8.780	8.828	5.000	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_08_02_11_40_56.cal		1.00		8/2/2024 11:57:03 AM	2	1	IC	17.23	17.48	10.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_08_02_11_40_56.cal		1.00		8/2/2024 11:59:26 AM	2	2	IC	17.72	17.48	10.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_08_02_11_40_56.cal		1.00		8/2/2024 12:05:26 PM	3	1	IC	43.03	43.10	25.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_08_02_11_40_56.cal		1.00		8/2/2024 12:07:49 PM	3	2	IC	43.17	43.10	25.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_08_02_11_40_56.cal		1.00		8/2/2024 12:13:45 PM	4	1	IC	86.70	87.06	50.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_08_02_11_40_56.cal		1.00		8/2/2024 12:16:09 PM	4	2	IC	87.41	87.06	50.00	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_08_02_11_40_56.cal		1.00		8/2/2024 12:20:39 PM	5	1	IC	175.2	174.1	100.0	 	 	 	0	50	
Standard	IC	Untitled	Untitled	C:\TOC-L\CalCurves\IC_Saline_100mgL.2024_08_02_11_40_56.cal		1.00		8/2/2024 12:23:04 PM	5	2	IC	173.0	174.1	100.0	 	 	 	0	50	
