Date,Site,DIC,DOC,TNPOC,POC,ID,chapter,depth,pH,Q,CO2,Temp_pH
2023-06-01,6.2,NA,15.12,NA,NA,6,long,0.1492425651517973,NA,8.21600098138606,NA,NA
2023-06-01,5.5,NA,6.015151515,NA,NA,5,long,0.06647335056907876,NA,42.43002282603052,NA,NA
2023-06-01,6.2,NA,7.057,NA,NA,6,long,0.1492425651517973,NA,8.21600098138606,NA,NA
2023-07-04,6.2,NA,14.02,NA,NA,6,long,0.15207249505408105,NA,10.209303531125348,NA,NA
2023-07-04,5.5,NA,10.56969697,NA,NA,5,long,0.1185637519526787,NA,42.962406510554125,NA,NA
2023-07-07,6.2,NA,55.7,NA,NA,6,long,0.16147567944486585,NA,14.980976808928991,NA,NA
2023-07-07,5.5,NA,56.18,NA,NA,5,long,0.0793945593951794,NA,54.563958696032635,NA,NA
2023-07-07,3.1,NA,53.3030303,NA,NA,3,long,0.24023446849923996,NA,11.23213954734804,NA,NA
2023-07-07,9.5,NA,59.57575758,NA,NA,9,long,0.03643157973184625,NA,4.633417629147781,NA,NA
2023-08-04,3.1,NA,56.186672,NA,NA,3,long,0.7094861645783898,NA,352.01400495247555,18779.94,NA
2023-08-04,6.2,NA,46.194896,NA,NA,6,long,0.7183314874205491,NA,672.9463357242462,24026.63,NA
2023-08-04,9.5,NA,63.388648,NA,NA,9,long,0.13941597761983396,NA,42.8522189199866,NA,NA
2023-09-08,3.1,NA,74.161568,NA,NA,3,long,0.4277778061741259,NA,70.69951347825204,NA,NA
2023-09-08,5.5,NA,16.208788,NA,NA,5,long,0.16668204457621072,NA,108.6992605420561,NA,NA
2023-09-08,6.2,NA,41.65396,NA,NA,6,long,0.35828794245001083,NA,103.9978585923081,16256.15,NA
2023-09-08,9.5,NA,78.09304,NA,NA,9,long,0.08743414871445149,NA,20.91475569444706,NA,NA
2023-09-13,5.5,NA,67.66,NA,NA,5,long,0.3047456802605912,NA,216.1244016010391,7516.392,NA
2023-09-28,6.2,NA,5.869,NA,NA,6,long,0.3609868988968752,NA,104.64114893343084,14218.58,NA
2023-09-28,3.1,NA,67.285784,NA,NA,3,long,0.531801647277537,NA,142.91064613595233,NA,NA
2023-09-28,5.5,NA,38.203192,NA,NA,5,long,0.3940795127744103,NA,267.8223324083823,6794.444,NA
2023-09-28,6.2,NA,23.432224,NA,NA,6,long,0.3609868988968752,NA,104.64114893343084,14218.58,NA
2023-09-28,9.5,NA,35.550736,NA,NA,9,long,0.18881821657582706,NA,78.95867783473086,NA,NA
