Date,ID,CO2,Temp_PT,DO,Q,depth,GPP,ER,K600,ssn,Temp_C,Temp_K,exp,KH,CO2_atm,CO2_molL,DO_molL,K600_m.d,SchmidtCO2hi,SchmidtO2hi,KCO2_m.d,KO2_m.d,DO.sat,CO2_flux,O2_flux,o2co2
2023-06-12,9,3240.7168888888887,73.8975,NA,NA,NA,NA,NA,NA,summer,23.28,296.42999999999995,0.04670708039794039,0.035258888168272,0.0032407168888888885,1.1426407437036368e-4,NA,NA,538.2692122112003,453.3409952768,NA,NA,8.532881972501098,NA,NA,NA
2023-06-13,9,3242.6117083333334,75.45523958333334,NA,NA,NA,NA,NA,NA,summer,24.14,297.28999999999996,0.023285983118102177,0.034621902341633606,0.0032426117083333332,1.1226538589775438e-4,NA,NA,518.0808234264005,435.3682100095995,NA,NA,8.396255273476855,NA,NA,NA
2023-06-14,9,3245.7665,75.32592708333334,NA,NA,NA,NA,NA,NA,summer,24.07,297.21999999999997,0.0251872844431969,0.03467318021894564,0.0032457665000000004,1.1254104680311643e-4,NA,NA,519.6885413683001,436.7980519111999,NA,NA,8.407230563569025,NA,NA,NA
2023-06-15,9,3258.78925,72.99659375,NA,NA,NA,NA,NA,NA,summer,22.78,295.92999999999995,0.06038657643354199,0.03563633843811702,0.0032587892499999997,1.1613131661149752e-4,NA,NA,550.4626691512001,464.2157514367998,NA,NA,8.614146808284955,NA,NA,NA
2023-06-16,9,3253.1364782608694,72.78236458333333,NA,NA,NA,NA,NA,NA,summer,22.66,295.81,0.06367653661865959,0.035727717496921246,0.0032531364782608695,1.1622714107423363e-4,NA,NA,553.4414043976001,466.87462192639975,NA,NA,8.633856006493229,NA,NA,NA
2023-07-07,9,3248.054909090909,79.962046875,NA,4.022244751827164,0.03643157973184625,NA,NA,NA,summer,26.65,299.79999999999995,-0.04430255197243049,0.032847482539036625,0.003248054909090909,1.0669042691219583e-4,NA,NA,464.11457121250027,387.49811509999995,NA,NA,8.018764618327516,NA,NA,NA
2023-07-08,9,3258.1327083333335,79.071375,NA,6.5520507051905685,0.04769454417696715,NA,NA,NA,summer,26.15,299.29999999999995,-0.030929119143729283,0.03319120997282685,0.0032581327083333333,1.081413668416267e-4,NA,NA,474.3391915875,396.5514940999999,NA,NA,8.091561594570823,NA,NA,NA
2023-07-09,9,3259.1834166666667,79.72908333333334,NA,5.80857105351456,0.04472076929002338,NA,NA,NA,summer,26.52,299.66999999999996,-0.04082975257354571,0.03293639766956581,0.0032591834166666666,1.0734576108938754e-4,NA,NA,466.7503226048002,389.8313737471998,NA,NA,8.037581758682926,NA,NA,NA
2023-07-10,9,3260.7262083333335,78.82183333333333,NA,8.853773238948666,0.05518035460313343,NA,NA,NA,summer,26.01,299.15999999999997,-0.02717654712416674,0.03328830417888239,0.0032607262083333335,1.0854404586705384e-4,NA,NA,477.24527795810025,399.1258376983995,NA,NA,8.112151662918786,NA,NA,NA
2023-07-11,9,3261.802125,77.91666666666667,NA,19.269485436083553,0.08551403269473194,NA,NA,NA,summer,25.51,298.65999999999997,-0.013745784892684257,0.03363814561225548,0.003261802125,1.0972097483911435e-4,NA,NA,487.7864064931002,408.4685069383996,NA,NA,8.186441750085917,NA,NA,NA
2023-07-12,9,3261.434625,77.84504166666666,NA,33.96799980678334,0.11738597143860952,NA,NA,NA,summer,25.47,298.62,-0.012669380946754571,0.033666342165931666,0.003261434625,1.0980057403706702e-4,NA,NA,488.64097022630017,409.22626722319995,NA,NA,8.192436480339493,NA,NA,NA
