"Plot Title: DG3"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20342066, SEN S/N: 20342066)","Full Range, μS/cm (LGR S/N: 20342066, SEN S/N: 20342066)","Temp, °F (LGR S/N: 20342066, SEN S/N: 20342066)","Coupler Detached (LGR S/N: 20342066, SEN S/N: 20342066)","Coupler Attached (LGR S/N: 20342066, SEN S/N: 20342066)","Host Connected (LGR S/N: 20342066, SEN S/N: 20342066)","Stopped (LGR S/N: 20342066, SEN S/N: 20342066)","End Of File (LGR S/N: 20342066, SEN S/N: 20342066)"
1,04/02/25 12:12:35 PM,0.6,-3.6,81.12,,,,,
2,04/02/25 12:12:40 PM,,,,Logged,,,,
3,04/02/25 12:12:45 PM,0.6,-3.6,80.76,,,,,
4,04/02/25 12:12:55 PM,0.6,-3.6,80.71,,,,,
5,04/02/25 12:13:05 PM,0.6,-1.4,80.85,,,,,
6,04/02/25 12:13:15 PM,0.6,-1.4,81.07,,,,,
7,04/02/25 12:13:25 PM,0.6,-3.6,81.97,,,,,
8,04/02/25 12:13:35 PM,0.6,-3.6,82.83,,,,,
9,04/02/25 12:13:45 PM,1.8,-1.4,82.90,,,,,
10,04/02/25 12:13:55 PM,0.6,-1.4,82.98,,,,,
11,04/02/25 12:14:05 PM,2.1,-3.6,83.08,,,,,
12,04/02/25 12:14:15 PM,0.6,10.3,83.28,,,,,
13,04/02/25 12:14:25 PM,2.1,-3.6,83.39,,,,,
14,04/02/25 12:14:35 PM,0.5,-1.4,83.68,,,,,
15,04/02/25 12:14:45 PM,0.6,-1.4,83.89,,,,,
16,04/02/25 12:14:55 PM,0.6,-1.4,84.16,,,,,
17,04/02/25 12:15:05 PM,0.6,-0.6,84.27,,,,,
18,04/02/25 12:15:15 PM,0.6,-1.4,84.51,,,,,
19,04/02/25 12:15:25 PM,1.8,-3.6,84.61,,,,,
20,04/02/25 12:15:35 PM,0.6,-1.4,84.79,,,,,
21,04/02/25 12:15:45 PM,0.1,-1.4,84.97,,,,,
22,04/02/25 12:15:55 PM,0.6,-3.6,85.19,,,,,
23,04/02/25 12:16:05 PM,0.6,-1.4,85.37,,,,,
24,04/02/25 12:16:15 PM,0.6,-1.4,85.44,,,,,
25,04/02/25 12:16:25 PM,0.6,-3.6,85.68,,,,,
26,04/02/25 12:16:35 PM,0.6,-1.4,85.80,,,,,
27,04/02/25 12:16:45 PM,0.5,-3.6,85.77,,,,,
