"TOA5","Bradford_13_","CR800","31039","CR800.Std.32.05","CPU:13_hourly_02082024.CR8","44747","Test"
"TIMESTAMP","RECORD","BattV_Min","CO2"
"TS","RN","Volts","ppm"
"","","Min","Smp"
"2024-02-09 16:00:00",0,12.95,14.41411
"2024-02-09 17:00:00",1,12.97,2664.008
"2024-02-09 18:00:00",2,12.96,2652.821
"2024-02-09 19:00:00",3,12.94,2653.018
"2024-02-09 20:00:00",4,12.93,2630.728
"2024-02-09 21:00:00",5,12.91,2642.308
"2024-02-09 22:00:00",6,12.89,2642.308
"2024-02-09 23:00:00",7,12.88,2642.308
"2024-02-10 00:00:00",8,12.87,2642.308
"2024-02-10 01:00:00",9,12.86,2642.308
"2024-02-10 02:00:00",10,12.85,2633.654
"2024-02-10 03:00:00",11,12.85,2622.115
"2024-02-10 04:00:00",12,12.85,2642.308
"2024-02-10 05:00:00",13,12.84,2653.846
"2024-02-10 06:00:00",14,12.84,2642.308
"2024-02-10 07:00:00",15,12.84,2610.577
"2024-02-10 08:00:00",16,12.84,2653.846
"2024-02-10 09:00:00",17,12.85,2653.846
"2024-02-10 10:00:00",18,12.87,2662.5
"2024-02-10 11:00:00",19,12.87,2704.899
"2024-02-10 12:00:00",20,12.86,2738.824
"2024-02-10 13:00:00",21,12.83,2750.102
"2024-02-10 14:00:00",22,12.86,2770.408
"2024-02-10 15:00:00",23,12.86,2813.668
"2024-02-10 16:00:00",24,12.87,2811.025
"2024-02-10 17:00:00",25,12.86,2814.062
"2024-02-10 18:00:00",26,12.86,2834.356
"2024-02-10 19:00:00",27,12.86,2808.65
"2024-02-10 20:00:00",28,12.85,2791.785
"2024-02-10 21:00:00",29,12.86,2749.039
"2024-02-10 22:00:00",30,12.85,2763.462
"2024-02-10 23:00:00",31,12.85,2743.269
"2024-02-11 00:00:00",32,12.84,2740.385
"2024-02-11 01:00:00",33,12.84,2737.5
"2024-02-11 02:00:00",34,12.82,2746.154
"2024-02-11 03:00:00",35,12.82,2740.385
"2024-02-11 04:00:00",36,12.82,2749.039
"2024-02-11 05:00:00",37,12.82,2734.615
"2024-02-11 06:00:00",38,12.81,2717.308
"2024-02-11 07:00:00",39,12.8,2728.846
"2024-02-11 08:00:00",40,12.8,2723.077
"2024-02-11 09:00:00",41,12.8,2734.615
"2024-02-11 10:00:00",42,12.71,2739.859
"2024-02-11 11:00:00",43,12.75,2782.112
"2024-02-11 12:00:00",44,12.78,2804.97
"2024-02-11 13:00:00",45,12.79,2857.027
"2024-02-11 14:00:00",46,12.82,2856.871
"2024-02-11 15:00:00",47,12.81,2871.886
"2024-02-11 16:00:00",48,12.84,2874.818
"2024-02-11 17:00:00",49,12.82,2897.988
"2024-02-11 18:00:00",50,12.81,2880.735
"2024-02-11 19:00:00",51,12.78,2898.026
"2024-02-11 20:00:00",52,12.76,2883.574
"2024-02-11 21:00:00",53,12.72,2866.322
"2024-02-11 22:00:00",54,12.68,2869.603
"2024-02-11 23:00:00",55,12.7,2875.877
"2024-02-12 00:00:00",56,12.67,2878.844
"2024-02-12 01:00:00",57,12.69,2855.769
"2024-02-12 02:00:00",58,12.67,2870.177
"2024-02-12 03:00:00",59,12.65,2887.419
"2024-02-12 04:00:00",60,12.67,2875.515
"2024-02-12 05:00:00",61,12.71,2881.343
"2024-02-12 06:00:00",62,12.67,2890.323
"2024-02-12 07:00:00",63,12.64,2870.172
"2024-02-12 08:00:00",64,12.61,2855.495
"2024-02-12 09:00:00",65,12.73,2854.849
"2024-02-12 10:00:00",66,12.74,2898.039
"2024-02-12 11:00:00",67,12.74,2923.194
"2024-02-12 12:00:00",68,12.73,2911.828
"2024-02-12 13:00:00",69,12.74,2935.15
"2024-02-12 14:00:00",70,12.75,2926.446
"2024-02-12 15:00:00",71,12.78,2952.431
"2024-02-12 16:00:00",72,12.78,2952.435
"2024-02-12 17:00:00",73,12.76,2952.639
"2024-02-12 18:00:00",74,12.76,2952.825
"2024-02-12 19:00:00",75,12.75,2952.831
"2024-02-12 20:00:00",76,12.75,2952.831
"2024-02-12 21:00:00",77,12.74,2952.825
"2024-02-12 22:00:00",78,12.74,2952.845
"2024-02-12 23:00:00",79,12.74,2953.022
"2024-02-13 00:00:00",80,12.74,2953.752
"2024-02-13 01:00:00",81,12.73,2953.846
"2024-02-13 02:00:00",82,12.73,2953.846
"2024-02-13 03:00:00",83,12.72,2953.846
"2024-02-13 04:00:00",84,12.72,2953.846
"2024-02-13 05:00:00",85,12.72,2953.846
"2024-02-13 06:00:00",86,12.73,2953.846
"2024-02-13 07:00:00",87,12.73,2953.846
"2024-02-13 08:00:00",88,12.72,2953.846
"2024-02-13 09:00:00",89,12.74,2953.846
"2024-02-13 10:00:00",90,12.76,2953.846
"2024-02-13 11:00:00",91,12.78,2953.846
"2024-02-13 12:00:00",92,12.78,2953.846
