Vial ID,Sample ID,Sampled,dilution,Ran,Analyzer,
,5GW3,6/19/2024,7,7232024,CA,
,5GW6,7/11/2024,7,7232024,CA,
,6GW4,7/11/2024,7,7232024,CA,
,6a,7/11/2024,7,7232024,CA,
,9GW2,7/11/2024,7,7232024,CA,
,6,7/11/2024,7,7232024,CA,
,5GW3,7/11/2024,7,7232024,CA,
,6GW2,7/11/2024,7,7232024,CA,
,6GW1,7/11/2024,7,7232024,CA,
,15.409,7/8/2024,7,7232024,CA,
,5GW7,7/11/2024,7,7232024,CA,
,7,7/11/2024,7,7232024,CA,
,5,7/11/2024,7,7232024,CA,
,5GW2 (5-2?),6/14/2024,7,7232024,CA,"No 5GW2 from 6/14, only 5-2"
,15,7/11/2024,7,7232024,CA,
,6GW3,7/11/2024,7,7232024,CA,
,5GW4,7/11/2024,7,7232024,CA,
,Surprise,7/2/2024,7,7232024,CA,
,5GW7,6/19/2024,7,7232024,CA,
,5GW1,7/11/2024,7,7232024,CA,
,5GW2,7/11/2024,7,7232024,CA,
,14.61,4/24/2024,7,7232024,CA,
,9GW2,6/20/2024,7,7232024,CA,
,9GW3,7/11/2024,7,7232024,CA,
,7.626,4/24/2024,7,7232024,CA,
,6GW2,6/20/2024,7,7232024,CA,
,FishCove,7/2/2024,7,7232024,CA,
,5GW2,7/11/2024,7,7232024,CA,"Repeat of B22, no sample"
,9.332,4/24/2024,7,7232024,CA,
,9.11,6/14/2024,7,7232024,CA,
,5GW5,7/11/2024,7,7232024,CA,
,5GW5,6/19/2024,7,7232024,CA,
,5_4,6/14/2024,7,7232024,CA,Not in og sheet
