Vial ID,Sample ID,Sampled,dilution,Ran,Analyzers
,3,4/3/2023,2,4/1/2023,SH
,5,4/3/2023,1.5,4/1/2023,SH
,5a,4/3/2023,2,4/1/2023,SH
,6,4/3/2023,2.5,4/1/2023,SH
,6a,4/3/2023,1,4/1/2023,SH
,7,4/3/2023,2,4/1/2023,SH
,9,4/3/2023,1,4/1/2023,SH
,13,4/3/2023,1,4/1/2023,SH
,14,4/3/2023,1,4/1/2023,SH
,15,4/3/2023,1,4/1/2023,SH
,3,5/1/2023,1,5/1/2023,SH
,5,5/1/2023,1.5,5/1/2023,SH
,5a,5/1/2023,2,5/1/2023,SH
,6,5/1/2023,2.5,5/1/2023,SH
,6a,5/1/2023,1,5/1/2023,SH
,7,5/1/2023,2,5/1/2023,SH
,9,5/1/2023,1,5/1/2023,SH
,13,5/1/2023,1,5/1/2023,SH
,14,5/1/2023,1,5/1/2023,SH
,15,5/1/2023,1,5/1/2023,SH
