Vial ,Sample ID,Sampled,Dilution,Run,Analyzer
1,7,8/23/2024,7,9/10/2024,Avery
2,13,8/23/2024,7,9/10/2024,Avery
3,7,8/23/2024,7,9/10/2024,Avery
4,9,8/23/2024,7,9/10/2024,Avery
5,15,8/23/2024,7,9/10/2024,Avery
6,3,8/23/2024,7,9/10/2024,Avery
7,6a,8/23/2024,7,9/10/2024,Avery
8,5,8/23/2024,7,9/10/2024,Avery
9,5a,8/23/2024,7,9/10/2024,Avery
10,6,8/23/2024,7,9/10/2024,Avery
11,6GW3,8/30/2024,7,9/10/2024,Avery
12,9GW2,8/30/2024,7,9/10/2024,Avery
13,6GW5,8/30/2024,7,9/10/2024,Avery
14,9GW1,8/30/2024,7,9/10/2024,Avery
15,5GW5,8/30/2024,7,9/10/2024,Avery
16,6GW2,8/30/2024,7,9/10/2024,Avery
17,5GW4,8/30/2024,7,9/10/2024,Avery
18,5GW2,8/30/2024,7,9/10/2024,Avery
19,5GW1,8/30/2024,7,9/10/2024,Avery
20,5GW6,8/30/2024,7,9/10/2024,Avery
21,9GW3,8/30/2024,7,9/10/2024,Avery
22,5GW7,8/30/2024,7,9/10/2024,Avery
23,5GW3,8/30/2024,7,9/10/2024,Avery
