Site,Date,NaCl_g,NaCl_in,Cond_pulld,Reach_m,Q_Estimate_L/s,Reach_ft,Sensor_interval,Photos,DG_calculated,Field_crew,Time_DST,Notes,Initial_Cond from YSI sonde (µS/cm),Observed Velocity
5,3/30/2021,,,,,na,,5 secs,,,Jules/Matt/Josh/Paul,,Jules' day 1: Paul/Josh/Matt? No record.,NA,
8,3/30/2021,NA,NA,NA,43,na,141,5 secs,,,Jules/Matt/Josh/Paul,yes,site 8 dismantled and replaced by site 3.,NA,
15,3/30/2021,1200,14:00,TBA,27.4,219.8558405,90,5 secs,,7/28/2021,Jules/Matt/Josh/Paul,yes,,NA,
6,4/6/2021,2000,16:27,16:47,50,1439.787076,164,5 secs,,7/28/2021,Jules/Matt/Josh,yes,,NA,
7,4/6/2021,250,13:04,13:42,38.1,121.2887537,125,5 secs,,4/22/2021,Jules/Matt/Josh,yes,,NA,
14,4/6/2021,250,10:26,11:17,30.2,48.00745076,99,5 secs,,4/22/2021,Jules/Matt/Josh,yes,,NA,
6a,4/6/2021,200,14:46,15:15,25.9,80.51203353,85,5 secs,,7/28/2021,Jules/Matt/Josh,yes,,NA,
3,4/13/2021,400,10:23,~10:46,30.5,210.657071,100,5 secs,,7/28/2021,Jules/Matt/Josh,yes,,NA,
13,4/13/2021,100,14:34,15:28,20.1,14.73088804,66,5 secs,,7/28/2021,Jules/Matt/Josh,yes,,NA,
5a,4/13/2021,100,11:51,12:10,18,21.70240671,59,5 secs,,7/29/2021,Jules/Matt/Josh,yes,didn't catch the full NaCl curve this time,NA,
9,4/16/2021,500,12:24,12:37,33.5,156.7248273,110,5 secs,,7/29/2021,Jules/Matt,yes,alternate for site 10.,NA,
3,6/24/2021,1400,12:55,1:16,41,410.1905995,134.5,5 secs,,7/29/2021,Jules/Paul,yes,lots of water,NA,
7,6/24/2021,600,2:14,2:33,35.1,145.6355237,115,5 secs,,7/29/2021,Jules/Paul,yes,"very foamy, turbulent",NA,
6a,6/24/2021,1200,11:33,12:02,39,95.79989318,128,5 secs,,7/29/2021,Jules/Paul,yes,lots of water,NA,
5,7/9/2021,2000,11:16,11:25,57.6,1605.177339,189,5 secs,Jules x 2,7/29/2021,Jules/Matt,yes,SF Drain site. High flow,NA,
9,7/9/2021,2000,1:01,1:08,32,1449.748106,105,5 secs,Jules x 2,7/29/2021,Jules/Matt,yes,"very flooded, main stream pass sampled here. Stream up path to this point is diverged, broken, and spilling into the clearcut, so we also sampled the strongest sidestream (9s). 9 is Bradford_1 in shuttle ",NA,
13,7/9/2021,1200,11:52,12:00,27.7,407.1184664,91,5 secs,Jules x 2,7/29/2021,Jules/Matt,yes,"need a wellcap and need to reset the well, full of sediment",NA,
5a,7/9/2021,1000,10:21,10:28,26.8,270.6396568,88,5 secs,Jules x 2,7/29/2021,Jules/Matt,yes,"frothy, high flow. Post TS Elsa",NA,
