Site,Sample Date,Contents,DF,Vial,Ran ,Who
5GW3,5/8/2024,TOC/IC,1,3,5/9/2024,SH
9GW2,5/8/2024,TOC/IC,1,6,5/9/2024,SH
9GW1,5/8/2024,TOC/IC,1,10,5/9/2024,SH
5,5/8/2024,TOC/IC,1,11,5/9/2024,SH
3,5/8/2024,TOC/IC,1,12,5/9/2024,SH
9GW4,5/8/2024,TOC/IC,1,13,5/9/2024,SH
9GW3,5/8/2024,TOC/IC,1,14,5/9/2024,SH
13,5/8/2024,TOC/IC,1,15,5/9/2024,SH
6,5/8/2024,TOC/IC,1,16,5/9/2024,SH
5GW4,5/8/2024,TOC/IC,1,17,5/9/2024,SH
5GW6,5/8/2024,TOC/IC,1,19,5/9/2024,SH
9,5/8/2024,TOC/IC,1,20,5/9/2024,SH
5GW2,5/8/2024,TOC/IC,1,21,5/9/2024,SH
5GW5,5/8/2024,TOC/IC,1,24,5/9/2024,SH
6GW5,5/8/2024,TOC/IC,1,25,5/9/2024,SH
6GW2,5/8/2024,TOC/IC,1,26,5/9/2024,SH
,,,,,,
