Site,Sample Date,Contents,DF,Vial,Ran ,Who
9.Sam,8/1/2024,TOC,1,5,8/2/2024,SH
5.3,8/1/2024,TOC,1,6,8/2/2024,SH
9GW3,7/29/2024,TOC,1,7,8/2/2024,SH
9.2,8/1/2024,TOC,1,8,8/2/2024,SH
5.2,8/1/2024,TOC,1,9,8/2/2024,SH
5.5,8/1/2024,TOC,1,10,8/2/2024,SH
6.2,8/1/2024,TOC,1,11,8/2/2024,SH
9.1,8/1/2024,TOC,1,12,8/2/2024,SH
13,8/1/2024,TOC,1,13,8/2/2024,SH
9.5,8/1/2024,TOC,1,14,8/2/2024,SH
5.4,8/1/2024,TOC,1,15,8/2/2024,SH
3,8/1/2024,TOC,1,16,8/2/2024,SH
6GW3,7/29/2024,TOC,1,17,8/2/2024,SH
5,7/29/2024,TOC,1,18,8/2/2024,SH
5GW6,7/29/2024,TOC,1,19,8/2/2024,SH
6GW4,7/29/2024,TOC,1,20,8/2/2024,SH
6,7/29/2024,TOC,1,21,8/2/2024,SH
5GW2,7/29/2024,TOC,1,22,8/2/2024,SH
5GW1,7/29/2024,TOC,1,23,8/2/2024,SH
5.1,8/1/2024,TOC,1,24,8/2/2024,SH
9GW1,7/29/2024,TOC,1,25,8/2/2024,SH
5GW4,7/29/2024,TOC,1,26,8/2/2024,SH
9GW2,7/29/2024,TOC,1,27,8/2/2024,SH
6GW1,7/29/2024,TOC,1,28,8/2/2024,SH
6a,7/29/2024,TOC,1,29,8/2/2024,SH
7,8/1/2024,TOC,1,30,8/2/2024,SH
6.6,8/1/2024,TOC,1,31,8/2/2024,SH
9,7/29/2024,TOC,1,32,8/2/2024,SH
5GW3,7/29/2024,TOC,1,33,8/2/2024,SH
5a,7/29/2024,TOC,1,34,8/2/2024,SH
6GW2,7/29/2024,TOC,1,35,8/2/2024,SH
5a,7/29/2024,TOC,1,36,8/2/2024,SH
5GW7,7/29/2024,TOC,1,37,8/2/2024,SH
5GW5,7/29/2024,TOC,1,38,8/2/2024,SH
9.4,8/1/2024,TOC,1,39,8/2/2024,SH
