Site,Sample Date,Contents,DF,Vial,Ran,Who
3,7/7/2023,DOC,0.33,46,11/20/2023,SH
5a,7/4/2023,DOC,0.33,47,11/20/2023,SH
6,7/4/2023,DOC,0,48,11/20/2023,SH
6a,7/7/2023,DOC,0,49,11/20/2023,SH
7,7/7/2023,DOC,0.33,50,11/20/2023,SH
9,7/7/2023,DOC,0.33,51,11/20/2023,SH
13,7/7/2023,DOC,0,52,11/20/2023,SH
14,7/7/2023,DOC,0,53,11/20/2023,SH
15,7/4/2023,DOC,0,54,11/20/2023,SH
5,6/1/2023,DOC,0.33,64,11/20/2023,SH
5a,6/1/2023,DOC,0,65,11/20/2023,SH
6,6/1/2023,DOC,0,66,11/20/2023,SH
6a,6/1/2023,DOC,0,67,11/20/2023,SH
7,6/1/2023,DOC,0,68,11/20/2023,SH
9a,6/1/2023,DOC,0.33,69,11/20/2023,SH
9b,6/1/2023,DOC,0.33,70,11/20/2023,SH
13,6/1/2023,DOC,0,71,11/20/2023,SH
14,6/1/2023,DOC,0,72,11/20/2023,SH
5,7/4/2023,DOC,0.33,74,11/20/2023,SH
