Site,Sample Date,Contents,DF,Vial,Ran ,Who
15,4/18/2024,TOC/IC,1,5,4/19/2024,"SH, CA"
5a,4/18/2024,TOC/IC,1,6,4/19/2024,"SH, CA"
13,4/18/2024,TOC/IC,1,7,4/19/2024,"SH, CA"
7,4/18/2024,TOC/IC,1,8,4/19/2024,"SH, CA"
6,4/18/2024,TOC/IC,1,9,4/19/2024,"SH, CA"
6a,4/18/2024,TOC/IC,1,10,4/19/2024,"SH, CA"
3,4/18/2024,TOC/IC,1,11,4/19/2024,"SH, CA"
5,4/18/2024,TOC/IC,1,12,4/19/2024,"SH, CA"
,4/18/2024,TOC/IC,1,13,4/19/2024,"SH, CA"
5GW4,4/18/2024,TOC/IC,1,14,4/19/2024,"SH, CA"
5GW2,4/18/2024,TOC/IC,1,15,4/19/2024,"SH, CA"
5GW3,4/18/2024,TOC/IC,1,16,4/19/2024,"SH, CA"
5GW5,4/18/2024,TOC/IC,1,17,4/19/2024,"SH, CA"
9GW1,4/18/2024,TOC/IC,1,18,4/19/2024,"SH, CA"
5GW6,4/18/2024,TOC/IC,1,19,4/19/2024,"SH, CA"
9GW3,4/18/2024,TOC/IC,1,20,4/19/2024,"SH, CA"
5GW1,4/18/2024,TOC/IC,1,21,4/19/2024,"SH, CA"
6GW5,4/18/2024,TOC/IC,1,22,4/19/2024,"SH, CA"
6GW3,4/18/2024,TOC/IC,1,23,4/19/2024,"SH, CA"
6GW1,4/18/2024,TOC/IC,1,24,4/19/2024,"SH, CA"
6GW4,4/18/2024,TOC/IC,1,25,4/19/2024,"SH, CA"
5GW7,4/18/2024,TOC/IC,1,26,4/19/2024,"SH, CA"
9GW2,4/18/2024,TOC/IC,1,27,4/19/2024,"SH, CA"
9GW4,4/18/2024,TOC/IC,1,28,4/19/2024,"SH, CA"
6GW2,4/18/2024,TOC/IC,1,29,4/19/2024,"SH, CA"
