Date,,,FDOM,CO2
8/1/2023 0:00,34594,12.54,0.9611651,181.4598
8/1/2023 1:00,34595,12.54,0.9723985,180.4368
8/1/2023 2:00,34596,12.54,0.9697224,179.4838
8/1/2023 3:00,34597,12.53,0.9998146,177.5189
8/1/2023 4:00,34598,12.53,1.044416,176.9698
8/1/2023 5:00,34599,12.53,1.011055,176.2183
8/1/2023 6:00,34600,12.52,1.031862,175.6845
8/1/2023 7:00,34601,12.53,1.061615,173.9838
8/1/2023 8:00,34602,12.54,1.070273,172.281
8/1/2023 9:00,34603,12.55,1.130867,172.1308
8/1/2023 10:00,34604,12.59,1.104425,172.0557
8/1/2023 11:00,34605,12.61,1.079959,177.0769
8/1/2023 12:00,34606,12.63,1.015158,181.2266
8/1/2023 13:00,34607,12.67,1.015293,183.8912
8/1/2023 14:00,34608,12.65,1.081356,187.6253
8/1/2023 15:00,34609,12.65,1.035111,190.1544
8/1/2023 16:00,34610,12.6,1.010974,189.6812
8/1/2023 17:00,34611,12.59,1.06857,192.671
8/1/2023 18:00,34612,12.56,1.027278,189.0062
8/1/2023 19:00,34613,12.54,1.017036,188.1906
8/1/2023 20:00,34614,12.53,1.034877,182.7536
8/1/2023 21:00,34615,12.52,1.035174,185.608
8/1/2023 22:00,34616,12.52,1.128519,174.8018
8/1/2023 23:00,34617,12.51,1.087742,162.2966
8/2/2023 0:00,34618,12.51,1.028584,151.8302
8/2/2023 1:00,34619,12.5,1.088984,143.8105
8/2/2023 2:00,34620,12.49,1.130715,137.354
8/2/2023 3:00,34621,12.49,1.090082,131.5092
8/2/2023 4:00,34622,12.48,1.085759,122.6739
8/2/2023 5:00,34623,12.48,1.091181,112.6153
8/2/2023 6:00,34624,12.47,1.117478,109.489
8/2/2023 7:00,34625,12.48,1.269085,100.0421
8/2/2023 8:00,34626,12.48,1.098868,91.27483
8/2/2023 9:00,34627,12.51,1.25142,83.31608
8/2/2023 10:00,34628,12.54,2.912611,81.54124
8/2/2023 11:00,34629,12.54,1.45344,88.82348
8/2/2023 12:00,34630,12.56,1.17128,94.53293
8/2/2023 13:00,34631,12.58,2.286949,99.76468
8/2/2023 14:00,34632,12.58,2.936899,102.8846
8/2/2023 15:00,34633,12.6,9.929624,102.8902
8/2/2023 16:00,34634,12.56,2.429645,95.07376
8/2/2023 17:00,34635,12.53,1.091093,97.31564
8/2/2023 18:00,34636,12.51,1.193779,108.5322
8/2/2023 19:00,34637,12.49,1.086787,105.5471
8/2/2023 20:00,34638,12.49,1.17241,99.56358
8/2/2023 21:00,34639,12.48,1.584106,92.22143
8/2/2023 22:00,34640,12.48,2.050828,86.92079
8/2/2023 23:00,34641,12.47,1.586367,84.95204
8/3/2023 0:00,34642,12.47,1.160291,82.23098
8/3/2023 1:00,34643,12.46,1.102104,79.71768
8/3/2023 2:00,34644,12.45,1.030873,75.16688
8/3/2023 3:00,34645,12.44,0.9952253,72.71837
8/3/2023 4:00,34646,12.44,1.030215,69.18481
8/3/2023 5:00,34647,12.44,1.097291,65.17218
8/3/2023 6:00,34648,12.43,0.9938987,61.2337
8/3/2023 7:00,34649,12.43,1.015406,56.00183
8/3/2023 8:00,34650,12.44,1.011393,50.55967
8/3/2023 9:00,34651,12.46,1.063612,41.92945
8/3/2023 10:00,34652,12.46,1.07241,48.65769
8/3/2023 11:00,34653,12.49,1.033095,48.38438
8/3/2023 12:00,34654,12.5,0.9823648,54.84051
8/3/2023 13:00,34655,12.53,1.111987,57.42758
8/3/2023 14:00,34656,12.52,1.177792,67.00643
8/3/2023 15:00,34657,12.51,1.088261,69.85559
8/3/2023 16:00,34658,12.52,1.126673,72.10835
8/3/2023 17:00,34659,12.46,1.113143,79.58513
8/3/2023 18:00,34660,12.45,1.049415,79.24532
8/3/2023 19:00,34661,12.44,1.072512,72.92472
8/3/2023 20:00,34662,12.44,1.089048,67.28352
8/3/2023 21:00,34663,12.43,1.107618,62.04749
8/3/2023 22:00,34664,12.43,1.119667,59.05489
8/3/2023 23:00,34665,12.42,1.016445,58.31078
8/4/2023 0:00,34666,12.42,1.100921,58.31057
8/4/2023 1:00,34667,12.41,1.074499,56.74929
8/4/2023 2:00,34668,12.41,1.08374,54.57407
8/4/2023 3:00,34669,12.4,1.058605,54.50363
8/4/2023 4:00,34670,12.39,16.06741,53.75882
8/4/2023 5:00,34671,12.39,15.54627,45.19409
8/4/2023 6:00,34672,12.39,13.19812,44.51554
8/4/2023 7:00,34673,12.39,14.38289,37.92169
8/4/2023 8:00,34674,12.39,15.66685,38.19103
8/4/2023 9:00,34675,12.41,14.37084,32.07498
8/4/2023 10:00,34676,12.42,9.774456,25.00751
8/4/2023 11:00,0,12.47,11.73833,18.41957
8/4/2023 12:00,1,12.43,13.19703,8311.025
8/4/2023 13:00,2,12.39,8.627753,8447.331
8/4/2023 14:00,3,12.37,12.49102,7934.481
8/4/2023 15:00,4,12.37,10.85818,8857.726
8/4/2023 16:00,5,12.37,10.82084,10098.26
8/4/2023 17:00,6,12.38,10.86609,10157.62
8/4/2023 18:00,7,12.36,10.26062,9795.289
8/4/2023 19:00,8,12.34,9.517463,9054.245
8/4/2023 20:00,9,12.34,2.208182,8616.17
8/4/2023 21:00,10,12.33,1.713562,8677.582
8/4/2023 22:00,11,12.33,1.558914,8736.948
8/4/2023 23:00,12,12.32,1.579827,8796.313
8/5/2023 0:00,13,12.32,1.488889,8827.02
8/5/2023 1:00,14,12.31,1.445309,8843.396
8/5/2023 2:00,15,12.31,1.39617,8874.103
8/5/2023 3:00,16,12.3,1.461667,8890.479
8/5/2023 4:00,17,12.3,1.370754,8841.349
8/5/2023 5:00,18,12.29,1.348929,8859.772
8/5/2023 6:00,19,12.29,1.368946,8843.396
8/5/2023 7:00,20,12.29,1.508084,8827.02
8/5/2023 8:00,21,12.28,1.594433,8812.689
8/5/2023 9:00,22,12.28,1.3616,8874.103
8/5/2023 10:00,23,12.3,1.49253,9084.952
8/5/2023 11:00,24,12.34,1.417164,9175.023
8/5/2023 12:00,25,12.38,1.634442,9173.921
8/5/2023 13:00,26,12.38,1.658059,9249.87
8/5/2023 14:00,27,12.38,1.632681,9294.786
8/5/2023 15:00,28,12.37,1.624482,9371.415
8/5/2023 16:00,29,12.35,1.676344,9369.018
8/5/2023 17:00,30,12.32,1.52529,9385.132
8/5/2023 18:00,31,12.3,1.652623,9387.35
8/5/2023 19:00,32,12.28,1.058836,9356.967
8/5/2023 20:00,33,12.28,2.117508,9432.846
8/5/2023 21:00,34,12.27,1.41901,9404.271
8/5/2023 22:00,35,12.27,1.931967,9432.872
8/5/2023 23:00,36,12.26,1.966462,9432.956
8/6/2023 0:00,37,12.26,1.993716,9385.873
8/6/2023 1:00,38,12.24,1.99192,9342.884
8/6/2023 2:00,39,12.24,2.114677,9312.178
8/6/2023 3:00,40,12.23,2.101056,9234.389
8/6/2023 4:00,41,12.23,2.185583,9158.646
8/6/2023 5:00,42,12.22,2.131022,9084.952
8/6/2023 6:00,43,12.22,2.167452,9007.163
8/6/2023 7:00,44,12.22,2.228461,8931.421
8/6/2023 8:00,45,12.23,2.107375,8902.762
8/6/2023 9:00,46,12.23,2.305617,8827.02
8/6/2023 10:00,47,12.24,2.265538,8795.702
8/6/2023 11:00,48,12.26,2.376509,8751.312
8/6/2023 12:00,49,12.29,2.399243,8703.596
8/6/2023 13:00,50,12.29,2.583114,8752.876
8/6/2023 14:00,51,12.27,2.6642,8751.479
8/6/2023 15:00,52,12.25,2.833373,8691.129
8/6/2023 16:00,53,12.26,2.855202,8646.841
8/6/2023 17:00,54,12.25,2.874302,8628.452
8/6/2023 18:00,55,12.23,2.842469,8569.087
8/6/2023 19:00,56,12.22,2.809726,8526.099
8/6/2023 20:00,57,12.21,2.814273,8493.345
8/6/2023 21:00,58,12.21,2.796992,8464.686
8/6/2023 22:00,59,12.2,2.894312,8481.063
8/6/2023 23:00,60,12.19,2.903408,8448.31
8/7/2023 0:00,61,12.19,2.838831,8438.074
8/7/2023 1:00,62,12.18,2.575065,8433.979
