"Plot Title: 9_DO_09262025_9"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 20190789, SEN S/N: 20190789)","Temp, °F (LGR S/N: 20190789, SEN S/N: 20190789)","Coupler Attached (LGR S/N: 20190789, SEN S/N: 20190789)","Coupler Detached (LGR S/N: 20190789, SEN S/N: 20190789)","Stopped (LGR S/N: 20190789, SEN S/N: 20190789)","End Of File (LGR S/N: 20190789, SEN S/N: 20190789)"
1,02/27/25 02:00:00 PM,7.46,60.84,,,,
2,02/27/25 03:00:00 PM,7.40,61.48,,,,
3,02/27/25 04:00:00 PM,7.29,62.06,,,,
4,02/27/25 05:00:00 PM,7.18,62.35,,,,
5,02/27/25 06:00:00 PM,7.09,62.38,,,,
6,02/27/25 07:00:00 PM,7.03,62.24,,,,
7,02/27/25 08:00:00 PM,6.98,61.99,,,,
8,02/27/25 09:00:00 PM,6.96,61.66,,,,
9,02/27/25 10:00:00 PM,6.94,61.30,,,,
10,02/27/25 11:00:00 PM,6.94,60.91,,,,
11,02/28/25 12:00:00 AM,6.95,60.55,,,,
12,02/28/25 01:00:00 AM,6.95,60.26,,,,
13,02/28/25 02:00:00 AM,6.94,60.01,,,,
14,02/28/25 03:00:00 AM,6.94,59.76,,,,
15,02/28/25 04:00:00 AM,6.96,59.50,,,,
16,02/28/25 05:00:00 AM,6.98,59.22,,,,
17,02/28/25 06:00:00 AM,7.03,58.82,,,,
18,02/28/25 07:00:00 AM,7.06,58.35,,,,
19,02/28/25 08:00:00 AM,7.12,57.96,,,,
20,02/28/25 09:00:00 AM,7.18,57.81,,,,
21,02/28/25 10:00:00 AM,7.25,57.96,,,,
22,02/28/25 11:00:00 AM,7.31,58.42,,,,
23,02/28/25 12:00:00 PM,7.38,59.25,,,,
24,02/28/25 01:00:00 PM,7.41,60.40,,,,
25,02/28/25 02:00:00 PM,7.40,61.34,,,,
26,02/28/25 03:00:00 PM,7.30,62.10,,,,
27,02/28/25 04:00:00 PM,7.20,62.60,,,,
28,02/28/25 05:00:00 PM,7.09,62.78,,,,
29,02/28/25 06:00:00 PM,7.03,62.56,,,,
30,02/28/25 07:00:00 PM,6.98,62.13,,,,
31,02/28/25 08:00:00 PM,6.99,61.45,,,,
32,02/28/25 09:00:00 PM,7.01,60.69,,,,
33,02/28/25 10:00:00 PM,7.08,59.90,,,,
34,02/28/25 11:00:00 PM,7.13,59.14,,,,
35,03/01/25 12:00:00 AM,7.20,58.42,,,,
36,03/01/25 01:00:00 AM,7.24,57.78,,,,
37,03/01/25 02:00:00 AM,7.27,57.13,,,,
38,03/01/25 03:00:00 AM,7.32,56.55,,,,
39,03/01/25 04:00:00 AM,7.38,56.05,,,,
40,03/01/25 05:00:00 AM,7.43,55.54,,,,
41,03/01/25 06:00:00 AM,7.48,55.18,,,,
42,03/01/25 07:00:00 AM,7.54,54.82,,,,
43,03/01/25 08:00:00 AM,7.59,54.54,,,,
44,03/01/25 09:00:00 AM,7.65,54.57,,,,
45,03/01/25 10:00:00 AM,7.70,54.93,,,,
46,03/01/25 11:00:00 AM,7.76,55.65,,,,
47,03/01/25 12:00:00 PM,7.82,56.77,,,,
48,03/01/25 01:00:00 PM,7.83,58.17,,,,
49,03/01/25 02:00:00 PM,7.80,59.32,,,,
50,03/01/25 03:00:00 PM,7.66,60.30,,,,
51,03/01/25 04:00:00 PM,7.55,61.02,,,,
52,03/01/25 05:00:00 PM,7.40,61.41,,,,
53,03/01/25 06:00:00 PM,7.30,61.38,,,,
54,03/01/25 07:00:00 PM,7.21,61.20,,,,
55,03/01/25 08:00:00 PM,7.17,60.87,,,,
56,03/01/25 09:00:00 PM,7.17,60.51,,,,
57,03/01/25 10:00:00 PM,7.18,60.12,,,,
58,03/01/25 11:00:00 PM,7.20,59.79,,,,
59,03/02/25 12:00:00 AM,7.21,59.47,,,,
60,03/02/25 01:00:00 AM,7.22,59.18,,,,
61,03/02/25 02:00:00 AM,7.18,59.11,,,,
62,03/02/25 03:00:00 AM,7.18,59.00,,,,
63,03/02/25 04:00:00 AM,7.16,58.86,,,,
64,03/02/25 05:00:00 AM,7.16,58.60,,,,
65,03/02/25 06:00:00 AM,7.18,58.21,,,,
66,03/02/25 07:00:00 AM,7.22,57.78,,,,
67,03/02/25 08:00:00 AM,7.26,57.42,,,,
68,03/02/25 09:00:00 AM,7.30,57.20,,,,
69,03/02/25 10:00:00 AM,7.41,57.24,,,,
70,03/02/25 11:00:00 AM,7.48,57.67,,,,
71,03/02/25 12:00:00 PM,7.58,58.46,,,,
72,03/02/25 01:00:00 PM,7.61,59.58,,,,
73,03/02/25 02:00:00 PM,7.60,60.51,,,,
74,03/02/25 03:00:00 PM,7.52,61.20,,,,
75,03/02/25 04:00:00 PM,7.42,61.66,,,,
76,03/02/25 05:00:00 PM,7.30,61.92,,,,
77,03/02/25 06:00:00 PM,7.23,61.63,,,,
78,03/02/25 07:00:00 PM,7.18,61.16,,,,
79,03/02/25 08:00:00 PM,7.18,60.58,,,,
80,03/02/25 09:00:00 PM,7.21,60.01,,,,
81,03/02/25 10:00:00 PM,7.24,59.36,,,,
82,03/02/25 11:00:00 PM,7.29,58.64,,,,
83,03/03/25 12:00:00 AM,7.37,57.78,,,,
84,03/03/25 01:00:00 AM,7.48,56.98,,,,
85,03/03/25 02:00:00 AM,7.56,56.19,,,,
86,03/03/25 03:00:00 AM,7.61,55.54,,,,
87,03/03/25 04:00:00 AM,7.69,54.86,,,,
88,03/03/25 05:00:00 AM,7.74,54.21,,,,
89,03/03/25 06:00:00 AM,7.83,53.60,,,,
90,03/03/25 07:00:00 AM,7.90,53.02,,,,
91,03/03/25 08:00:00 AM,7.97,52.66,,,,
92,03/03/25 09:00:00 AM,8.04,52.74,,,,
93,03/03/25 10:00:00 AM,8.11,53.06,,,,
94,03/03/25 11:00:00 AM,8.19,53.74,,,,
95,03/03/25 12:00:00 PM,8.27,54.75,,,,
96,03/03/25 01:00:00 PM,8.26,56.12,,,,
97,03/03/25 02:00:00 PM,8.21,57.16,,,,
98,03/03/25 03:00:00 PM,8.16,58.14,,,,
99,03/03/25 04:00:00 PM,8.02,58.86,,,,
100,03/03/25 05:00:00 PM,7.91,59.32,,,,
101,03/03/25 06:00:00 PM,7.81,59.36,,,,
102,03/03/25 07:00:00 PM,7.73,59.25,,,,
103,03/03/25 08:00:00 PM,7.66,59.04,,,,
104,03/03/25 09:00:00 PM,7.64,58.71,,,,
105,03/03/25 10:00:00 PM,7.64,58.39,,,,
106,03/03/25 11:00:00 PM,7.64,57.99,,,,
107,03/04/25 12:00:00 AM,7.65,57.49,,,,
108,03/04/25 01:00:00 AM,7.68,56.95,,,,
109,03/04/25 02:00:00 AM,7.72,56.48,,,,
110,03/04/25 03:00:00 AM,7.74,56.08,,,,
111,03/04/25 04:00:00 AM,7.74,55.72,,,,
112,03/04/25 05:00:00 AM,7.75,55.40,,,,
113,03/04/25 06:00:00 AM,7.76,55.15,,,,
114,03/04/25 07:00:00 AM,7.77,54.90,,,,
115,03/04/25 08:00:00 AM,7.80,54.86,,,,
116,03/04/25 09:00:00 AM,7.81,55.29,,,,
117,03/04/25 10:00:00 AM,7.83,55.98,,,,
118,03/04/25 11:00:00 AM,7.84,57.02,,,,
119,03/04/25 12:00:00 PM,7.86,58.32,,,,
120,03/04/25 01:00:00 PM,7.87,59.83,,,,
121,03/04/25 02:00:00 PM,7.76,61.05,,,,
122,03/04/25 03:00:00 PM,7.60,61.84,,,,
123,03/04/25 04:00:00 PM,7.46,62.56,,,,
124,03/04/25 05:00:00 PM,7.29,63.10,,,,
125,03/04/25 06:00:00 PM,7.16,63.14,,,,
126,03/04/25 07:00:00 PM,7.07,62.96,,,,
127,03/04/25 08:00:00 PM,6.99,62.74,,,,
128,03/04/25 09:00:00 PM,6.95,62.42,,,,
129,03/04/25 10:00:00 PM,6.94,62.13,,,,
130,03/04/25 11:00:00 PM,6.94,61.88,,,,
131,03/05/25 12:00:00 AM,6.91,61.70,,,,
132,03/05/25 01:00:00 AM,6.89,61.48,,,,
133,03/05/25 02:00:00 AM,6.88,61.38,,,,
134,03/05/25 03:00:00 AM,6.86,61.34,,,,
135,03/05/25 04:00:00 AM,6.82,61.38,,,,
136,03/05/25 05:00:00 AM,6.79,61.45,,,,
137,03/05/25 06:00:00 AM,6.75,61.52,,,,
138,03/05/25 07:00:00 AM,6.72,61.66,,,,
139,03/05/25 08:00:00 AM,6.69,61.84,,,,
140,03/05/25 09:00:00 AM,6.66,62.20,,,,
141,03/05/25 10:00:00 AM,6.65,62.56,,,,
142,03/05/25 11:00:00 AM,6.66,62.67,,,,
143,03/05/25 12:00:00 PM,6.77,62.96,,,,
144,03/05/25 01:00:00 PM,6.78,63.82,,,,
145,03/05/25 02:00:00 PM,6.77,64.51,,,,
146,03/05/25 03:00:00 PM,6.74,65.08,,,,
147,03/05/25 04:00:00 PM,6.68,65.44,,,,
148,03/05/25 05:00:00 PM,6.57,65.66,,,,
149,03/05/25 06:00:00 PM,6.51,65.37,,,,
150,03/05/25 07:00:00 PM,6.45,64.90,,,,
151,03/05/25 08:00:00 PM,6.42,64.36,,,,
152,03/05/25 09:00:00 PM,6.39,63.75,,,,
153,03/05/25 10:00:00 PM,6.40,63.18,,,,
154,03/05/25 11:00:00 PM,6.45,62.64,,,,
155,03/06/25 12:00:00 AM,6.51,62.10,,,,
156,03/06/25 01:00:00 AM,6.57,61.41,,,,
157,03/06/25 02:00:00 AM,6.64,60.80,,,,
158,03/06/25 03:00:00 AM,6.69,60.19,,,,
159,03/06/25 04:00:00 AM,6.74,59.54,,,,
160,03/06/25 05:00:00 AM,6.78,58.82,,,,
161,03/06/25 06:00:00 AM,6.85,58.17,,,,
162,03/06/25 07:00:00 AM,6.91,57.60,,,,
163,03/06/25 08:00:00 AM,7.00,57.16,,,,
164,03/06/25 09:00:00 AM,7.09,56.80,,,,
165,03/06/25 10:00:00 AM,7.21,56.73,,,,
166,03/06/25 11:00:00 AM,7.33,57.02,,,,
167,03/06/25 12:00:00 PM,7.48,57.70,,,,
168,03/06/25 01:00:00 PM,7.59,58.71,,,,
169,03/06/25 02:00:00 PM,7.58,59.65,,,,
170,03/06/25 03:00:00 PM,7.52,60.33,,,,
171,03/06/25 04:00:00 PM,7.43,60.73,,,,
172,03/06/25 05:00:00 PM,7.33,61.05,,,,
173,03/06/25 06:00:00 PM,7.24,60.94,,,,
174,03/06/25 07:00:00 PM,7.20,60.48,,,,
175,03/06/25 08:00:00 PM,7.17,59.79,,,,
176,03/06/25 09:00:00 PM,7.18,59.00,,,,
177,03/06/25 10:00:00 PM,7.24,58.24,,,,
178,03/06/25 11:00:00 PM,7.30,57.49,,,,
179,03/07/25 12:00:00 AM,7.39,56.70,,,,
180,03/07/25 01:00:00 AM,7.48,55.87,,,,
181,03/07/25 02:00:00 AM,7.57,55.08,,,,
182,03/07/25 03:00:00 AM,7.67,54.36,,,,
183,03/07/25 04:00:00 AM,7.74,53.71,,,,
184,03/07/25 05:00:00 AM,7.81,53.06,,,,
185,03/07/25 06:00:00 AM,7.86,52.52,,,,
186,03/07/25 07:00:00 AM,7.94,52.02,,,,
187,03/07/25 08:00:00 AM,8.02,51.69,,,,
