Vial ID,Sample ID,Sampled,dilution,Ran ,Analyzers
1,3,3/25/2024,6,3/27/2024,Aragon
2,5,3/25/2024,6,3/27/2024,Aragon
3,5a,3/25/2024,6,3/27/2024,Aragon
4,6,3/25/2024,6,3/27/2024,Aragon
5,6a,3/25/2024,6,3/27/2024,Aragon
6,7,3/25/2024,6,3/27/2024,Aragon
7,9,3/25/2024,6,3/27/2024,Aragon
8,13,3/25/2024,6,3/27/2024,Aragon
9,15,3/25/2024,6,3/27/2024,Aragon
10,5GW1,3/25/2024,6,3/27/2024,Aragon
11,5GW2,3/25/2024,6,3/27/2024,Aragon
12,5GW3,3/25/2024,6,3/27/2024,Aragon
13,5GW4,3/25/2024,6,3/27/2024,Aragon
14,5GW5,3/25/2024,6,3/27/2024,Aragon
15,5GW6,3/25/2024,6,3/27/2024,Aragon
16,5_dep,3/25/2024,6,3/27/2024,Aragon
17,9GW1,3/25/2024,6,3/27/2024,Aragon
18,9GW2,3/25/2024,6,3/27/2024,Aragon
19,9GW3,3/25/2024,6,3/27/2024,Aragon
20,9GW4,3/25/2024,6,3/27/2024,Aragon
21,6GW1,3/25/2024,6,3/27/2024,Aragon
22,6GW2,3/25/2024,6,3/27/2024,Aragon
23,6GW4,3/25/2024,6,3/27/2024,Aragon
