Vial ID,Sample ID,Sampled,dilution,Ran,Analyzers
,3,9/29/2023,12,10/20/2023,SH
,5,9/29/2023,12,10/20/2023,SH
,5a,9/29/2023,12,10/20/2023,SH
,6,9/29/2023,12,10/20/2023,SH
,6a,9/29/2023,12,10/20/2023,SH
,7,9/29/2023,12,10/20/2023,SH
,9,9/29/2023,12,10/20/2023,SH
,13,9/29/2023,12,10/20/2023,SH
,14,9/29/2023,12,10/20/2023,SH
,15,9/29/2023,12,10/20/2023,SH
,3,9/8/2023,6,10/20/2023,SH
,5,9/8/2023,6,10/20/2023,SH
,5a,9/8/2023,6,10/20/2023,SH
,6,9/8/2023,6,10/20/2023,SH
,6a,9/8/2023,6,10/20/2023,SH
,7,9/8/2023,6,10/20/2023,SH
,9,9/8/2023,6,10/20/2023,SH
,13,9/8/2023,6,10/20/2023,SH
,14,9/8/2023,6,10/20/2023,SH
,15,9/8/2023,6,10/20/2023,SH
