Vial ID,Sample ID,Sampled,dilution,Ran ,Analyzers
1,3,1/15/2024,11,1/18/2024,"SH, SS, AB"
2,5,1/15/2024,11,1/18/2024,"SH, SS, AB"
3,5a,1/15/2024,11,1/18/2024,"SH, SS, AB"
4,6,1/15/2024,11,1/18/2024,"SH, SS, AB"
5,6a,1/15/2024,11,1/18/2024,"SH, SS, AB"
6,7,1/15/2024,11,1/18/2024,"SH, SS, AB"
7,9,1/15/2024,11,1/18/2024,"SH, SS, AB"
8,13,1/15/2024,11,1/18/2024,"SH, SS, AB"
9,14,1/15/2024,11,1/18/2024,"SH, SS, AB"
10,15,1/15/2024,11,1/18/2024,"SH, SS, AB"
11,5a,1/15/2024,11,1/18/2024,"SH, SS, AB"
12,GWW,,11,1/18/2024,"SH, SS, AB"
13,S,,11,1/18/2024,"SH, SS, AB"
14,W,,11,1/18/2024,"SH, SS, AB"
15,TFD,,11,1/18/2024,"SH, SS, AB"
16,SURD,,11,1/18/2024,"SH, SS, AB"
17,LLCD,,11,1/18/2024,"SH, SS, AB"
18,SFD,,11,1/18/2024,"SH, SS, AB"
19,LLOD,,11,1/18/2024,"SH, SS, AB"
20,GWD,,11,1/18/2024,"SH, SS, AB"
21,SFS,,11,1/18/2024,"SH, SS, AB"
22,GWS,,11,1/18/2024,"SH, SS, AB"
23,LLCS,,11,1/18/2024,"SH, SS, AB"
24,LLDS,,11,1/18/2024,"SH, SS, AB"
25,TFS,,11,1/18/2024,"SH, SS, AB"
26,LLCDS,,11,1/18/2024,"SH, SS, AB"
27,LLCS,,0,1/18/2024,"SH, SS, AB"
28,SFS,,0,1/18/2024,"SH, SS, AB"
29,LLOS,,0,1/18/2024,"SH, SS, AB"
30,GWS,,0,1/18/2024,"SH, SS, AB"
31,SUBS,,0,1/18/2024,"SH, SS, AB"
32,TFS,,0,1/18/2024,"SH, SS, AB"
33,SURS,,0,1/18/2024,"SH, SS, AB"
34,LLOD,,0,1/18/2024,"SH, SS, AB"
35,TFD,,0,1/18/2024,"SH, SS, AB"
36,SFD,,0,1/18/2024,"SH, SS, AB"
37,GWD,,0,1/18/2024,"SH, SS, AB"
38,LLCD,,0,1/18/2024,"SH, SS, AB"
39,GWW,,0,1/18/2024,"SH, SS, AB"
40,S,,0,1/18/2024,"SH, SS, AB"
41,W,,0,1/18/2024,"SH, SS, AB"
