"Plot Title: Bradford_6cond"
"#","Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 10757733, SEN S/N: 10757733, LBL: CondLo)","Full Range, μS/cm (LGR S/N: 10757733, SEN S/N: 10757733, LBL: CondHi)","Temp, °F (LGR S/N: 10757733, SEN S/N: 10757733, LBL: Temp)"
1,12/08/22 02:15:00 PM,88.6,83.9,68.97
2,12/08/22 02:30:00 PM,86.9,82.1,68.32
3,12/08/22 02:45:00 PM,87.3,82.1,68.41
4,12/08/22 03:00:00 PM,87.4,82.4,68.50
5,12/08/22 03:15:00 PM,87.5,82.4,68.50
6,12/08/22 03:30:00 PM,87.4,82.1,68.36
7,12/08/22 03:45:00 PM,87.4,82.1,68.27
8,12/08/22 04:00:00 PM,87.3,82.1,68.22
9,12/08/22 04:15:00 PM,87.3,82.1,68.20
10,12/08/22 04:30:00 PM,87.2,82.1,68.13
11,12/08/22 04:45:00 PM,87.2,81.7,68.04
12,12/08/22 05:00:00 PM,87.1,81.7,67.89
13,12/08/22 05:15:00 PM,87.0,81.7,67.73
14,12/08/22 05:30:00 PM,86.8,81.0,67.57
15,12/08/22 05:45:00 PM,86.6,81.0,67.41
16,12/08/22 06:00:00 PM,87.4,81.8,67.24
17,12/08/22 06:15:00 PM,87.1,81.4,67.06
18,12/08/22 06:30:00 PM,86.1,80.3,66.90
19,12/08/22 06:45:00 PM,87.4,82.1,66.72
20,12/08/22 07:00:00 PM,85.9,80.3,66.56
21,12/08/22 07:15:00 PM,85.7,80.0,66.43
22,12/08/22 07:30:00 PM,85.6,79.6,66.31
23,12/08/22 07:45:00 PM,85.5,79.6,66.20
24,12/08/22 08:00:00 PM,85.4,79.6,66.09
25,12/08/22 08:15:00 PM,85.3,79.2,65.98
26,12/08/22 08:30:00 PM,85.3,78.9,65.89
27,12/08/22 08:45:00 PM,85.3,79.3,65.80
28,12/08/22 09:00:00 PM,84.9,78.9,65.70
29,12/08/22 09:15:00 PM,84.9,78.5,65.61
30,12/08/22 09:30:00 PM,84.9,78.9,65.52
31,12/08/22 09:45:00 PM,84.7,78.9,65.43
32,12/08/22 10:00:00 PM,84.6,78.5,65.34
33,12/08/22 10:15:00 PM,84.5,78.2,65.25
34,12/08/22 10:30:00 PM,84.5,78.2,65.14
35,12/08/22 10:45:00 PM,84.4,78.2,65.05
36,12/08/22 11:00:00 PM,84.3,78.2,64.98
37,12/08/22 11:15:00 PM,84.2,78.2,64.87
38,12/08/22 11:30:00 PM,84.1,78.2,64.80
39,12/08/22 11:45:00 PM,84.0,77.8,64.71
40,12/09/22 12:00:00 AM,83.9,77.8,64.63
41,12/09/22 12:15:00 AM,83.8,77.8,64.56
42,12/09/22 12:30:00 AM,83.8,77.5,64.49
43,12/09/22 12:45:00 AM,83.7,77.5,64.40
44,12/09/22 01:00:00 AM,83.6,77.5,64.35
45,12/09/22 01:15:00 AM,83.5,77.5,64.26
46,12/09/22 01:30:00 AM,83.5,77.1,64.22
47,12/09/22 01:45:00 AM,83.4,77.1,64.15
48,12/09/22 02:00:00 AM,83.4,77.1,64.08
49,12/09/22 02:15:00 AM,83.2,76.8,64.02
50,12/09/22 02:30:00 AM,83.2,77.1,63.95
51,12/09/22 02:45:00 AM,83.1,76.4,63.88
52,12/09/22 03:00:00 AM,83.2,76.4,63.84
53,12/09/22 03:15:00 AM,83.0,76.4,63.79
54,12/09/22 03:30:00 AM,82.9,76.4,63.75
55,12/09/22 03:45:00 AM,82.9,76.0,63.68
56,12/09/22 04:00:00 AM,83.8,77.5,63.63
57,12/09/22 04:15:00 AM,82.9,76.0,63.59
58,12/09/22 04:30:00 AM,82.8,76.4,63.54
59,12/09/22 04:45:00 AM,82.7,76.0,63.52
60,12/09/22 05:00:00 AM,82.7,76.1,63.46
61,12/09/22 05:15:00 AM,82.7,76.1,63.45
62,12/09/22 05:30:00 AM,82.7,76.1,63.37
63,12/09/22 05:45:00 AM,82.9,76.4,63.32
64,12/09/22 06:00:00 AM,82.9,76.1,63.28
65,12/09/22 06:15:00 AM,82.6,75.7,63.23
66,12/09/22 06:30:00 AM,82.5,75.7,63.19
67,12/09/22 06:45:00 AM,82.3,75.7,63.12
68,12/09/22 07:00:00 AM,82.5,75.7,63.05
69,12/09/22 07:15:00 AM,82.3,75.3,63.00
70,12/09/22 07:30:00 AM,82.1,75.0,62.92
71,12/09/22 07:45:00 AM,82.1,75.0,62.89
72,12/09/22 08:00:00 AM,82.0,75.3,62.82
73,12/09/22 08:15:00 AM,82.0,75.3,62.82
74,12/09/22 08:30:00 AM,85.0,78.3,62.80
75,12/09/22 08:45:00 AM,82.1,75.0,62.83
76,12/09/22 09:00:00 AM,82.1,75.3,62.91
77,12/09/22 09:15:00 AM,82.2,75.3,63.00
78,12/09/22 09:30:00 AM,82.3,75.3,63.14
79,12/09/22 09:45:00 AM,82.5,75.7,63.32
80,12/09/22 10:00:00 AM,82.7,76.0,63.52
81,12/09/22 10:15:00 AM,82.9,76.0,63.77
82,12/09/22 10:30:00 AM,83.1,76.4,64.04
83,12/09/22 10:45:00 AM,83.4,77.1,64.38
84,12/09/22 11:00:00 AM,83.7,77.5,64.65
85,12/09/22 11:15:00 AM,84.0,77.5,64.98
86,12/09/22 11:30:00 AM,84.9,78.9,65.30
87,12/09/22 11:45:00 AM,84.6,78.5,65.61
88,12/09/22 12:00:00 PM,84.9,78.9,65.93
89,12/09/22 12:15:00 PM,85.2,79.2,66.24
90,12/09/22 12:30:00 PM,85.7,80.0,66.63
91,12/09/22 12:45:00 PM,86.0,80.3,66.99
92,12/09/22 01:00:00 PM,89.3,84.0,67.32
93,12/09/22 01:15:00 PM,86.6,81.0,67.66
94,12/09/22 01:30:00 PM,88.0,82.8,67.89
95,12/09/22 01:45:00 PM,92.7,87.2,68.05
96,12/09/22 02:00:00 PM,90.1,85.4,68.20
97,12/09/22 02:15:00 PM,87.4,82.1,68.27
98,12/09/22 02:30:00 PM,87.3,82.1,68.34
99,12/09/22 02:45:00 PM,87.4,81.7,68.38
100,12/09/22 03:00:00 PM,87.3,82.1,68.41
101,12/09/22 03:15:00 PM,87.3,82.1,68.34
102,12/09/22 03:30:00 PM,87.2,82.1,68.25
103,12/09/22 03:45:00 PM,87.2,81.7,68.20
104,12/09/22 04:00:00 PM,87.2,81.7,68.13
105,12/09/22 04:15:00 PM,87.1,81.4,68.05
106,12/09/22 04:30:00 PM,87.0,81.7,67.95
107,12/09/22 04:45:00 PM,87.0,81.4,67.80
108,12/09/22 05:00:00 PM,86.7,81.4,67.64
109,12/09/22 05:15:00 PM,86.5,81.0,67.46
110,12/09/22 05:30:00 PM,86.4,80.7,67.26
111,12/09/22 05:45:00 PM,86.3,80.3,67.10
112,12/09/22 06:00:00 PM,86.1,80.3,66.94
113,12/09/22 06:15:00 PM,85.9,80.3,66.78
114,12/09/22 06:30:00 PM,85.8,80.3,66.60
115,12/09/22 06:45:00 PM,85.7,80.0,66.45
116,12/09/22 07:00:00 PM,85.5,79.6,66.29
117,12/09/22 07:15:00 PM,85.3,79.2,66.13
118,12/09/22 07:30:00 PM,85.2,79.2,65.98
119,12/09/22 07:45:00 PM,85.1,78.9,65.84
120,12/09/22 08:00:00 PM,85.0,78.9,65.70
121,12/09/22 08:15:00 PM,86.7,81.1,65.57
122,12/09/22 08:30:00 PM,84.6,78.5,65.43
123,12/09/22 08:45:00 PM,84.6,78.2,65.30
124,12/09/22 09:00:00 PM,84.4,78.5,65.19
125,12/09/22 09:15:00 PM,84.4,78.2,65.07
126,12/09/22 09:30:00 PM,84.2,77.8,64.96
127,12/09/22 09:45:00 PM,84.2,77.8,64.85
128,12/09/22 10:00:00 PM,84.0,77.8,64.74
129,12/09/22 10:15:00 PM,84.0,77.8,64.63
130,12/09/22 10:30:00 PM,83.8,77.5,64.51
131,12/09/22 10:45:00 PM,83.7,77.5,64.45
132,12/09/22 11:00:00 PM,83.6,77.5,64.35
133,12/09/22 11:15:00 PM,83.5,77.1,64.24
134,12/09/22 11:30:00 PM,83.4,77.1,64.17
135,12/09/22 11:45:00 PM,83.4,77.1,64.08
136,12/10/22 12:00:00 AM,83.2,76.8,64.00
137,12/10/22 12:15:00 AM,84.0,77.5,63.88
138,12/10/22 12:30:00 AM,83.0,76.4,63.79
