Result(NPOC),Unit,Vial,Ran
50,mg/L,"1, 2, 2, 3, 3, 4, 5",11/20/2023
20.32,mg/L,7,11/20/2023
9.892,mg/L,8,11/20/2023
11.47,mg/L,9,11/20/2023
14.74,mg/L,10,11/20/2023
9.96,mg/L,11,11/20/2023
9.418,mg/L,12,11/20/2023
8.612,mg/L,13,11/20/2023
10.17,mg/L,14,11/20/2023
16.06,mg/L,15,11/20/2023
15,mg/L,16,11/20/2023
11.47,mg/L,17,11/20/2023
15.32,mg/L,18,11/20/2023
9.904,mg/L,19,11/20/2023
14.09,mg/L,20,11/20/2023
13.93,mg/L,21,11/20/2023
11.62,mg/L,22,11/20/2023
9.82,mg/L,23,11/20/2023
11.09,mg/L,24,11/20/2023
11.84,mg/L,25,11/20/2023
4.773,mg/L,26,11/20/2023
15.98,mg/L,27,11/20/2023
14.78,mg/L,28,11/20/2023
11.25,mg/L,29,11/20/2023
15.06,mg/L,30,11/20/2023
11.64,mg/L,31,11/20/2023
3.751,mg/L,32,11/20/2023
15.35,mg/L,33,11/20/2023
9.782,mg/L,34,11/20/2023
3.815,mg/L,35,11/20/2023
5.868,mg/L,36,11/20/2023
38.62,mg/L,37,11/20/2023
16.97,mg/L,38,11/20/2023
34.7,mg/L,39,11/20/2023
15.39,mg/L,40,11/20/2023
22.81,mg/L,41,11/20/2023
37.13,mg/L,42,11/20/2023
5.585,mg/L,43,11/20/2023
6.98,mg/L,44,11/20/2023
11.6,mg/L,45,11/20/2023
17.59,mg/L,46,11/20/2023
9.992,mg/L,47,11/20/2023
14.02,mg/L,48,11/20/2023
16.52,mg/L,49,11/20/2023
17.64,mg/L,50,11/20/2023
19.66,mg/L,51,11/20/2023
3.357,mg/L,52,11/20/2023
6.461,mg/L,53,11/20/2023
8.344,mg/L,54,11/20/2023
3.256,mg/L,55,11/20/2023
4.193,mg/L,56,11/20/2023
11.07,mg/L,57,11/20/2023
15.28,mg/L,58,11/20/2023
8.831,mg/L,59,11/20/2023
10.75,mg/L,60,11/20/2023
10.96,mg/L,61,11/20/2023
3.66,mg/L,62,11/20/2023
7.176,mg/L,63,11/20/2023
1.985,mg/L,64,11/20/2023
2.839,mg/L,65,11/20/2023
7.057,mg/L,66,11/20/2023
8.597,mg/L,67,11/20/2023
6.126,mg/L,68,11/20/2023
7.3,mg/L,69,11/20/2023
7.057,mg/L,70,11/20/2023
2.805,mg/L,71,11/20/2023
5.214,mg/L,72,11/20/2023
5.241,mg/L,73,11/20/2023
3.488,mg/L,74,11/20/2023
-1.34,mg/L,0,11/20/2023
-1.71,mg/L,0,11/20/2023
-1.378,mg/L,0,11/20/2023
-1.762,mg/L,0,11/20/2023
-1.513,mg/L,0,11/20/2023
