[Header],,,,,,,,,,,,
System,TOC-L,,,,,,,,,,,
S/W Version,1,,,,,,,,,,,
User,,,,,,,,,,,,
Date/Time,11/21/2023 16:07,,,,,,,,,,,
,,,,,,,,,,,,
[System],,,,,,,,,,,,
Instrument Options,TOC/ASI/IC Unit/,,,,,,,,,,,
,,,,,,,,,,,,
[Data],,,,,,,,,,,,
Type,Anal.,Sample Name,Sample ID,Result(TOC),Result(TC),Result(IC),Result(POC),Result(NPOC),Result(TN),Unit,Vial,Date / Time
Standard,NPOC,C STD 50 ppm,C STD 50 PPM,,,,,50,,mg/L,"1, 2, 2, 3, 3, 4, 5",11/20/2023 14:52
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,20.32,,mg/L,7,11/20/2023 15:15
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,9.892,,mg/L,8,11/20/2023 15:40
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,11.47,,mg/L,9,11/20/2023 16:03
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,14.74,,mg/L,10,11/20/2023 16:21
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,9.96,,mg/L,11,11/20/2023 16:42
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,9.418,,mg/L,12,11/20/2023 17:07
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,8.612,,mg/L,13,11/20/2023 17:28
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,10.17,,mg/L,14,11/20/2023 17:46
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,16.06,,mg/L,15,11/20/2023 18:09
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,15,,mg/L,16,11/20/2023 18:31
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,11.47,,mg/L,17,11/20/2023 18:52
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,15.32,,mg/L,18,11/20/2023 19:10
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,9.904,,mg/L,19,11/20/2023 19:31
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,14.09,,mg/L,20,11/20/2023 19:48
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,13.93,,mg/L,21,11/20/2023 20:10
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,11.62,,mg/L,22,11/20/2023 20:31
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,9.82,,mg/L,23,11/20/2023 20:53
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,11.09,,mg/L,24,11/20/2023 21:10
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,11.84,,mg/L,25,11/20/2023 21:27
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,4.773,,mg/L,26,11/20/2023 21:48
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,15.98,,mg/L,27,11/20/2023 22:06
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,14.78,,mg/L,28,11/20/2023 22:28
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,11.25,,mg/L,29,11/20/2023 22:50
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,15.06,,mg/L,30,11/20/2023 23:11
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,11.64,,mg/L,31,11/20/2023 23:34
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,3.751,,mg/L,32,11/20/2023 23:58
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,15.35,,mg/L,33,11/21/2023 0:20
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,9.782,,mg/L,34,11/21/2023 0:42
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,3.815,,mg/L,35,11/21/2023 1:02
Unknown,NPOC,yuseung,C STD 50 PPM,,,,,5.868,,mg/L,36,11/21/2023 1:23
Unknown,NPOC,sam,C STD 50 PPM,,,,,38.62,,mg/L,37,11/21/2023 1:45
Unknown,NPOC,sam,C STD 50 PPM,,,,,16.97,,mg/L,38,11/21/2023 2:07
Unknown,NPOC,sam,C STD 50 PPM,,,,,34.7,,mg/L,39,11/21/2023 2:30
Unknown,NPOC,sam,C STD 50 PPM,,,,,15.39,,mg/L,40,11/21/2023 2:52
